gene,260Sch-1_S13,260Sch-2_S14,260Sch-3_S15,820LT-1_S1,820LT-2_S2,820LT-3_S3,820Sch-1_S10,820Sch-2_S11,820Sch-3_S12,G260-1_S4,G260-2_S5,G260-3_S6,G260sch-1-23468787,G260sch-2-23468788,G260sch-3-23468793
PBANKA_0000101,0,0,0,0,0,1,2,1,0,0,0,1,2,2,3
PBANKA_0000201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0000301,2,1,1,7,6,14,8,11,14,0,4,2,5,9,1
PBANKA_0000401,12,7,12,11,1,9,48,58,41,11,14,9,103,43,52
PBANKA_0000600,6,5,12,37,11,39,20,21,19,9,11,15,2,1,0
PBANKA_0000701,2,5,5,2,1,12,5,7,6,5,4,7,0,1,0
PBANKA_0000801,3,2,1,2,1,3,3,3,0,2,3,0,0,1,0
PBANKA_0000901,16,6,10,14,7,13,35,39,31,8,7,9,27,9,12
PBANKA_0001001,309,280,256,175,83,176,187,287,169,375,515,432,90,62,43
PBANKA_0001101,1,0,2,0,0,0,2,0,0,0,2,1,0,1,1
PBANKA_0001200,0,0,0,2,0,1,3,3,4,0,1,0,0,0,0
PBANKA_0001201,38,26,29,18,8,23,13,10,11,53,72,74,4,2,4
PBANKA_0001301,17,11,19,8,2,12,4,3,4,62,44,48,3,5,2
PBANKA_0001401,30,28,34,12,0,13,6,8,3,58,67,51,2,0,0
PBANKA_0001501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0001601,0,0,0,1,0,0,0,0,0,2,0,2,1,0,2
PBANKA_0006300,127,133,131,48,25,56,43,51,19,222,245,171,32,21,17
PBANKA_0006401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0006501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0006600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0006701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0006800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0006900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0007000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0007100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0007200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0007300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0007401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0007501,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PBANKA_0007601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0007701,255,207,247,17,15,17,123,167,123,18,20,21,144,115,172
PBANKA_0007801,8,4,5,8,5,6,8,4,2,6,5,2,4,3,1
PBANKA_0007901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0008001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0008101,19,16,18,72,36,87,380,479,412,17,34,18,133,66,109
PBANKA_0008201,1,12,6,7,6,22,10,7,2,8,8,8,3,1,1
PBANKA_0008301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0008401,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0008501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0008601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0008701,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
PBANKA_0008801,0,1,0,0,1,1,0,0,0,3,1,1,0,0,0
PBANKA_0008901,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
PBANKA_0009101,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
PBANKA_0100021,439,544,424,201,124,204,3744,3950,3024,201,276,249,3984,2351,2385
PBANKA_0100041,185,99,138,26,2,21,83,70,84,22,18,20,68,48,75
PBANKA_0100061,983,1017,722,430,214,407,4318,4290,3503,500,631,545,8559,5122,5469
PBANKA_0100081,3,0,1,1,1,1,1,1,0,0,0,0,1,0,2
PBANKA_0100100,138,112,124,297,157,325,94,133,63,201,213,211,29,33,39
PBANKA_0100200,1833,1343,1566,2183,983,2353,1454,1413,1017,1974,2391,2111,1112,766,675
PBANKA_0100300,14,19,7,10,3,8,29,33,27,8,10,12,31,17,18
PBANKA_0100400,5070,5136,3687,551,159,503,22848,23441,19124,347,488,455,60936,29780,42445
PBANKA_0100500,9269,9173,8180,5937,3117,7922,19623,21852,16854,7519,9523,7356,20119,10854,13653
PBANKA_0100600,16054,17358,16591,4760,2462,6211,30037,27187,19773,5347,5579,4779,33301,23500,38758
PBANKA_0100700,60758,60697,51992,42001,23035,58426,194375,198581,170536,46835,54327,46962,373761,182552,274945
PBANKA_0100800,3784,3126,3198,3277,1547,2843,10881,13237,10613,2857,3319,2836,2850,2125,2979
PBANKA_0100900,10543,10035,8866,8871,4305,10328,29908,37556,28068,8884,11539,9049,43847,24813,26139
PBANKA_0101000,6000,5083,5234,5631,3368,7532,2889,3051,2289,5588,6481,5886,1362,1302,1878
PBANKA_0101100,576,327,481,283,144,282,708,585,521,128,178,125,89,98,193
PBANKA_0101200,7052,5686,5636,4996,2541,6808,4580,4558,3612,4440,5457,4258,1787,1878,3162
PBANKA_0101300,3343,2884,2791,3228,1628,4416,2039,1856,1413,3863,4680,3599,659,752,985
PBANKA_0101400,20278,18610,18444,11441,4948,11849,23749,22411,17194,10582,12765,10435,11529,11226,14565
PBANKA_0101500,907,774,849,936,498,509,2468,2690,1671,557,640,522,383,382,431
PBANKA_0101600,1985,1568,1859,1226,457,1419,1610,1425,1020,1226,1644,1373,419,451,648
PBANKA_0101700,5900,4792,5603,3608,1768,4203,4918,5102,3670,3469,3833,3498,2306,2083,2600
PBANKA_0101800,5862,5170,5263,5824,3268,6217,7694,8626,5680,6111,6812,6218,2133,1734,2047
PBANKA_0101900,9226,7859,8737,3817,1644,3785,7792,8280,5695,2656,3543,2960,2760,2727,3512
PBANKA_0102000,6414,5160,5476,4293,1988,5453,4452,4175,3364,2839,3508,2858,1770,1561,2359
PBANKA_0102100,5104,4495,4380,2702,1687,3298,5705,5859,4161,3386,4414,3643,3435,2285,2856
PBANKA_0102200,4647,3727,3868,5283,2117,5043,5349,5608,3811,4919,5694,5012,2059,1227,1104
PBANKA_0102300,5010,3711,4012,2911,1096,2969,2881,2715,2109,881,692,792,984,1054,1584
PBANKA_0102400,2255,1474,1661,1732,483,992,1770,2020,1582,437,575,387,362,357,540
PBANKA_0102500,1793,1336,1468,2231,910,2475,1516,1363,1029,1724,2085,1517,534,354,553
PBANKA_0102600,22961,21933,21972,3310,1761,3775,24723,24289,18049,2615,3401,2638,14328,12633,15637
PBANKA_0102700,180,145,122,226,131,116,625,1366,1001,159,225,215,79,70,72
PBANKA_0102800,2972,2273,2565,2865,941,2345,1888,1776,1310,2099,2559,2247,698,659,858
PBANKA_0102900,6425,6949,6622,283,153,80,20599,20964,14118,101,148,188,9184,8750,9675
PBANKA_0103000,1326,1141,1164,688,393,968,1640,1480,972,685,869,678,564,453,543
PBANKA_0103100,3074,2504,2491,2230,820,2380,2471,2132,1578,1911,2157,1813,680,615,595
PBANKA_0103200,52,54,59,428,253,32,2120,1904,1081,28,36,28,69,71,66
PBANKA_0103300,38976,33379,33211,34865,14758,35465,37270,45601,33829,36845,44893,37596,35107,20437,23405
PBANKA_0103400,3864,3253,3310,3227,1824,4065,2499,2549,2028,2939,3443,3034,1310,1019,1512
PBANKA_0103500,1069,981,1026,582,249,509,1221,1163,815,417,508,494,535,428,348
PBANKA_0103700,1128,994,994,1403,895,1911,659,601,427,1483,1568,1476,287,260,370
PBANKA_0103800,2419,2072,2210,3841,1894,5041,1559,1466,1041,3291,3610,3255,436,467,775
PBANKA_0103900,18757,13936,14620,10172,4301,9923,18373,16289,11587,7133,8561,7089,8844,7061,10156
PBANKA_0104000,5546,4633,5189,3081,1729,4218,4852,5408,3889,2861,3648,2915,2040,1759,2845
PBANKA_0104100,3467,3077,2898,1474,803,1701,4139,5321,3753,918,1338,1044,1784,1530,2321
PBANKA_0104200,455,267,300,247,88,164,524,670,370,147,202,203,85,105,62
PBANKA_0104300,1281,936,1142,934,328,822,964,950,658,638,663,661,343,365,380
PBANKA_0104400,1473,1232,1455,141,78,149,1586,2397,1805,247,392,295,1115,853,1024
PBANKA_0104500,210,141,131,426,285,34,1882,1550,1155,30,36,35,202,195,215
PBANKA_0104600,12115,9608,11165,9687,3457,9671,11562,11156,7826,6551,7322,6695,17204,13032,14380
PBANKA_0104700,9456,7165,8455,3990,1485,3435,8011,7999,6065,1425,1434,1445,2009,2065,2010
PBANKA_0104800,5172,5047,4987,3214,1220,3010,12713,14050,9541,3089,3819,3498,9208,5600,5581
PBANKA_0104900,13560,11375,11629,12367,6218,15691,9886,9531,7637,12858,15323,13056,7819,4263,5996
PBANKA_0105000,4371,4573,4350,2096,1377,2891,5779,5975,4526,2578,3142,2675,3814,2920,4715
PBANKA_0105100,143,151,144,814,512,34,3994,4232,2713,43,68,53,293,222,249
PBANKA_0105200,10549,8855,9106,6643,3016,7663,9687,9564,7695,6329,7997,6367,5858,4317,4963
PBANKA_0105300,11134,9479,9880,10547,4188,11340,10888,11140,8097,10879,13317,11033,6889,4525,4916
PBANKA_0105400,28551,24036,25086,15399,6673,16607,18665,17622,13382,13255,16582,13082,8961,8096,11145
PBANKA_0105500,3761,2935,3112,5296,2596,5633,2501,2440,1711,4968,5458,5534,731,660,684
PBANKA_0105600,20896,18310,17563,19694,13634,25571,12983,14912,10390,26497,34039,27633,4975,4466,5155
PBANKA_0105700,580,474,484,429,234,348,1223,1204,966,267,362,284,366,254,422
PBANKA_0105800,2607,1965,2204,1193,528,963,2227,2001,1418,907,1037,904,769,567,684
PBANKA_0105900,2609,1857,2215,1162,352,955,2361,2193,1440,772,876,821,654,538,807
PBANKA_0106000,8238,8403,7862,3152,1817,3955,12712,15888,11191,2778,3658,3105,12675,8059,11385
PBANKA_0106100,716,575,596,490,211,476,498,558,376,314,505,397,292,255,274
PBANKA_0106200,2591,2122,2553,704,438,685,3322,4789,3133,391,408,451,1711,1178,1624
PBANKA_0106300,19117,18307,17641,3844,2076,345,49506,46795,33192,292,228,326,12460,11694,11162
PBANKA_0106400,3356,3069,2802,2949,1587,4180,2952,3024,2345,3275,4184,3256,1583,1330,1780
PBANKA_0106500,3308,2809,2965,4971,2165,5988,2604,2464,1905,4670,5214,4391,1682,1267,1336
PBANKA_0106600,4078,3344,3528,4129,2197,5607,2417,2393,1712,3791,4268,3752,1037,1023,1480
PBANKA_0106700,7841,6089,6913,6329,2965,7563,4717,4458,3255,5837,6451,5844,1796,1826,2366
PBANKA_0106800,960,812,899,816,407,851,1084,947,729,619,749,762,333,227,276
PBANKA_0106900,1383,1338,1247,1291,625,1402,1266,1323,989,906,1056,998,504,487,660
PBANKA_0106950,2469,2102,2288,1398,756,1521,1624,1657,1168,1015,1311,1096,725,731,892
PBANKA_0107000,4463,4135,4203,2372,1254,2925,4966,4523,3725,1722,1770,1558,1990,1632,2803
PBANKA_0107100,14191,11842,12293,12556,7188,17102,7557,7228,5945,12194,13056,11956,3144,3359,5442
PBANKA_0107200,254,294,249,158,155,144,887,1459,1188,155,277,148,152,110,150
PBANKA_0107300,17575,15916,14594,32504,15504,37756,9811,9943,8295,27862,31059,27383,3605,3387,4757
PBANKA_0107400,15491,13337,13513,13037,6621,15408,10783,10980,8404,10149,10995,9983,7976,5566,8812
PBANKA_0107500,3456,2984,3382,2291,898,2403,3339,3307,2487,1715,2102,1846,1304,1068,1531
PBANKA_0107600,17399,14782,15299,6060,1857,5691,13519,12677,9719,4273,4962,4024,6080,5711,6689
PBANKA_0107700,5188,5782,4640,7901,4571,11087,15806,22321,16745,9755,11969,9946,14969,6977,7374
PBANKA_0107800,379,248,309,218,122,270,487,512,313,246,280,243,266,164,219
PBANKA_0107900,7509,7556,7489,2027,1234,2826,13422,12069,8828,2987,3446,3100,13979,8387,11884
PBANKA_0108000,1944,1531,1714,1305,483,1181,2064,2107,1440,948,1259,1111,774,514,443
PBANKA_0108100,1208,999,913,465,259,475,2521,2901,2065,670,991,759,803,616,746
PBANKA_0108200,12159,12970,12834,4169,2082,4283,28040,34076,21763,4576,5471,4839,22944,16954,20255
PBANKA_0108300,4166,5157,4525,343,274,20,15431,15515,10631,23,18,37,8187,6650,11324
PBANKA_0108400,6517,7146,6580,2733,1423,2885,12258,13987,9051,2373,2876,2400,8351,6680,8835
PBANKA_0108500,2710,2203,2228,2860,1534,3724,1694,1445,1142,3135,3709,3163,666,633,904
PBANKA_0108600,6050,6009,5875,4824,3515,5799,6610,6782,5039,5393,6173,5394,2070,1883,2230
PBANKA_0108700,12959,11223,11078,14031,7584,17170,11862,12181,9146,15568,17416,15200,5686,4205,5240
PBANKA_0108800,33195,46697,35564,1664,1116,1856,75597,78948,53738,1030,1150,1068,101852,83077,118295
PBANKA_0108900,2333,1914,1880,4471,2707,6120,1320,1447,1103,3994,4809,4265,427,425,564
PBANKA_0109000,1919,1342,1569,2366,681,1745,932,901,622,1507,1782,1594,163,205,193
PBANKA_0109100,33486,27894,28115,34963,15921,42063,15600,16491,12616,35178,42636,34660,6966,6849,9601
PBANKA_0109200,21936,20244,20815,13520,7114,17319,35095,39918,29923,15051,18231,14772,29758,17977,21351
PBANKA_0109300,4043,4052,3760,1548,752,1726,7518,6752,4820,1296,1635,1331,3280,2933,3568
PBANKA_0109400,2015,1553,1818,1078,547,1433,1491,1227,1026,795,936,769,483,543,958
PBANKA_0109500,5931,4819,4923,5351,2820,6789,3628,3490,2767,4930,5468,4848,1337,1317,1690
PBANKA_0109600,10308,8987,9753,6000,3503,8304,8119,8115,6071,5358,5899,5479,3602,3310,5421
PBANKA_0109700,9841,7933,8906,7224,2955,6976,8438,8329,5791,6798,8039,7052,3731,2900,3160
PBANKA_0109800,105,149,142,764,434,12,4098,3950,2641,30,38,35,338,270,175
PBANKA_0109900,3447,3573,3933,998,564,65,12982,11273,7107,76,73,73,3678,3192,3373
PBANKA_0110000,7642,6976,7314,9380,6205,12818,9573,11667,8606,9932,10758,10666,6577,3441,4639
PBANKA_0110100,13211,11882,12424,5341,2297,4799,14606,15669,10929,4149,5403,4878,5830,5625,5931
PBANKA_0110200,4417,3989,4214,2768,1482,3449,6122,5933,4179,2557,2792,2549,2123,1748,2456
PBANKA_0110300,2171,2069,2193,65,31,28,3480,3288,2408,37,32,32,1755,1402,2085
PBANKA_0110400,2453,2010,2040,3362,1123,2471,2454,2670,1897,2383,2713,2595,1045,626,830
PBANKA_0110500,20069,20133,19414,5193,2443,4093,45284,42912,31300,2481,2959,2722,38492,34680,51417
PBANKA_0110600,211,271,254,123,61,118,640,474,329,82,124,86,290,292,232
PBANKA_0110700,103,81,93,116,33,54,407,454,212,35,46,43,65,86,226
PBANKA_0110800,75,76,72,560,372,64,2673,2300,1529,102,115,75,129,106,80
PBANKA_0110900,1478,1326,1281,2369,1095,2841,1789,1862,1396,2073,2629,2209,738,520,542
PBANKA_0111000,5220,7272,6010,472,184,318,30588,26966,17505,210,248,333,31088,22269,26101
PBANKA_0111100,2396,2218,1947,1392,645,1564,4748,4949,3569,1411,1702,1561,7967,4952,6417
PBANKA_0111200,9414,9423,7969,8896,4825,9726,28153,34923,24669,9749,11799,9952,29992,15396,16360
PBANKA_0111300,7249,5844,5781,8618,4085,10572,4425,3958,3061,6532,6497,6045,1528,1636,2252
PBANKA_0111400,3406,3485,3205,2044,1215,2782,4866,5165,3549,2484,3127,2418,3533,2719,3611
PBANKA_0111500,1118,965,1269,565,252,514,1248,1052,745,557,664,564,497,435,366
PBANKA_0111600,15135,17394,14656,589,250,395,56146,57047,36340,339,408,446,24934,17876,20101
PBANKA_0111700,4812,4018,4456,2017,1347,2870,4281,4496,3235,2023,2598,2087,1890,1768,2395
PBANKA_0111800,5054,4761,4671,3052,1214,3024,5658,6162,4223,2310,2947,2473,10536,6674,8534
PBANKA_0111900,2835,3749,3196,682,256,613,14278,17259,12142,522,609,427,12532,8629,11393
PBANKA_0112000,2918,2075,2542,2438,796,1926,3107,2416,1726,1692,1961,1767,1403,935,814
PBANKA_0112100,54062,56493,51820,727,338,445,109852,115835,82907,609,821,727,44228,37871,50326
PBANKA_0112200,40793,49514,38185,1205,427,649,179724,200602,142534,1021,1293,1380,400632,236443,340561
PBANKA_0112300,4627,5207,4646,1713,923,2066,15730,12495,8792,1716,1934,1592,9969,9101,13080
PBANKA_0112400,2970,2581,2660,2341,891,2271,4452,4475,2967,1956,2628,2114,4253,2410,2593
PBANKA_0112500,7393,6551,5729,3456,1671,3733,15815,19877,15065,3101,4622,3417,32695,15351,19198
PBANKA_0112600,8523,8058,7855,11484,5847,13208,16222,16482,12597,10406,11556,10743,16183,10710,9941
PBANKA_0112621,207,230,168,131,98,141,332,357,254,189,260,187,396,271,306
PBANKA_0112641,1673,1459,1505,1380,812,1828,2027,2399,1730,1639,1929,1611,1424,832,920
PBANKA_0112661,5,11,8,3,1,2,85,104,69,2,2,2,105,62,54
PBANKA_0112681,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PBANKA_0112701,4,2,5,3,1,4,7,8,8,2,2,4,6,9,3
PBANKA_0112721,32,24,14,43,32,67,92,107,80,51,59,39,133,59,84
PBANKA_0200400,6938,7125,5948,2511,1404,3052,33824,45158,33888,2972,3932,3067,40306,20897,25188
PBANKA_0200500,957,686,914,376,157,399,1171,1072,690,237,342,281,804,619,859
PBANKA_0200600,1069,972,960,1177,928,1765,4249,5028,4134,785,853,836,1565,933,1304
PBANKA_0200650,44,30,17,77,39,71,70,86,51,36,43,34,40,36,29
PBANKA_0200670,3,0,2,5,0,2,0,2,1,0,0,2,0,2,0
PBANKA_0200700,27,30,46,1161,694,1489,354,338,244,129,161,136,11,13,26
PBANKA_0200751,15,16,12,36,10,40,16,10,14,31,39,43,9,2,0
PBANKA_0201000,1706,1370,1430,2174,1251,3023,1016,1010,662,2360,2757,2386,414,248,505
PBANKA_0201051,476,365,355,46,17,46,320,240,226,42,111,57,233,198,200
PBANKA_0201100,69,58,44,43,9,21,32,56,38,96,135,125,49,29,27
PBANKA_0201200,63,71,69,25,14,38,79,100,66,38,45,41,233,131,152
PBANKA_0201250,11481,12973,10917,4592,2787,6707,37345,40957,29641,5584,6475,5384,85657,53871,81832
PBANKA_0201300,6551,7222,5457,2142,1266,2717,26005,28557,22361,2310,2963,2458,71836,37499,52238
PBANKA_0201340,5741,4966,5265,5352,2967,7202,4700,4639,3562,5233,5960,5009,3053,2069,3233
PBANKA_0201360,259,296,280,45,48,52,71,76,83,210,240,225,104,78,92
PBANKA_0201400,838,639,704,705,311,662,497,659,354,497,565,537,240,167,225
PBANKA_0201450,52,18,34,94,16,58,28,47,30,4,24,22,2,12,11
PBANKA_0201500,16444,14777,14858,14091,6605,18179,27085,29643,23072,14301,16218,13850,32804,18363,23771
PBANKA_0201600,323273,334306,334084,175305,104336,260320,402293,392296,323021,269790,322529,264290,707968,392769,588891
PBANKA_0201700,160,134,151,174,91,173,224,227,166,200,290,192,454,204,339
PBANKA_0201800,2634,2364,2220,6636,2865,7112,1539,1544,1334,5084,5806,5628,468,526,474
PBANKA_0201900,2883,2528,2466,3393,2345,5298,2269,2202,1800,3715,4552,4005,778,718,1083
PBANKA_0202000,5695,4267,4738,9707,4054,10496,4757,4607,3226,8582,11021,9678,1457,1383,1430
PBANKA_0202100,125,108,137,251,78,161,106,100,67,134,130,136,14,15,10
PBANKA_0202200,1674,1235,1326,2293,1014,2441,1041,1028,788,1954,2124,1981,254,249,233
PBANKA_0202300,3495,3196,3054,4134,2169,5152,2859,2988,2098,4305,4765,4509,1085,857,1029
PBANKA_0202400,5352,4810,5098,1380,596,1443,6601,5598,4231,1023,1445,1152,3295,2880,3994
PBANKA_0202500,5305,4144,4853,946,277,693,4488,4898,3181,373,381,349,1351,1443,1540
PBANKA_0202600,287,249,259,405,262,564,221,213,131,456,506,428,38,50,49
PBANKA_0202700,4173,4319,3911,3610,1548,4387,7322,8767,6826,4506,5473,4853,4068,3047,3730
PBANKA_0202800,1130,1127,948,1124,770,1340,1544,1595,1344,1109,1286,1092,2096,1233,1866
PBANKA_0202900,6811,6224,5550,6249,3196,7752,11099,10124,9075,6044,7293,6370,18735,9686,12589
PBANKA_0203000,84890,67507,74039,33350,14629,36433,50686,53699,44614,19512,20779,18559,21588,23014,38912
PBANKA_0203100,13275,12898,12089,7143,3403,8149,16701,17678,13387,6330,8236,6661,18708,12548,17138
PBANKA_0203200,6687,6365,6116,3454,1734,4263,11702,11442,9192,4244,5119,4175,12043,7352,9142
PBANKA_0203300,2603,2505,2437,1933,1438,2557,4465,5243,4283,2404,2839,2335,3647,2186,2824
PBANKA_0203400,1047,939,755,903,482,940,953,905,672,818,1024,795,731,564,925
PBANKA_0203500,7005,5511,5978,5637,2319,6132,7024,5823,4572,5065,6031,5149,3582,2696,3565
PBANKA_0203600,1775,1565,1614,1973,1154,1242,5953,5509,4241,1075,1304,1232,1665,1241,1319
PBANKA_0203650,5583,4872,4929,3302,1521,3901,6315,6621,4835,2341,2741,2401,3179,2505,3322
PBANKA_0203750,3927,3807,3807,1202,548,1260,7109,6947,5123,503,663,569,3845,2938,3373
PBANKA_0203800,5381,4948,4857,5812,2544,6045,6769,7080,5077,4454,5285,4778,6263,3293,4359
PBANKA_0203900,2343,2592,2194,808,515,1057,5724,6968,5212,879,1086,960,5578,3017,2823
PBANKA_0204000,803,802,683,2721,1183,3303,485,502,382,2474,3196,2490,200,167,128
PBANKA_0204100,3807,3248,3365,4939,2805,6409,3584,4243,3198,4735,6057,5179,2782,1500,2054
PBANKA_0204200,3195,2411,3168,1820,805,1897,2729,2695,2050,1098,1151,1137,778,786,1205
PBANKA_0204300,175,139,138,146,48,115,271,325,178,83,102,76,61,77,64
PBANKA_0204400,2444,2082,2070,3372,1637,3974,4899,5445,4093,2781,3563,2743,903,838,1109
PBANKA_0204500,364,360,288,978,556,87,10526,9435,7362,99,146,129,653,523,483
PBANKA_0204600,9332,11966,7305,326,193,181,53057,54787,47369,271,349,281,133980,49395,93314
PBANKA_0204700,4953,4322,4605,2530,1567,3283,3529,3900,2892,2770,3401,2744,1861,1392,2202
PBANKA_0204800,16750,14442,14721,9858,4602,11902,15111,15872,12601,9734,12303,10259,11859,7575,11055
PBANKA_0204900,1872,1709,1711,1853,920,2159,3644,4071,3166,1014,1203,1011,2266,1441,2028
PBANKA_0205000,8842,11762,8290,2220,2347,2753,93093,140461,85945,3432,4760,3555,72631,47267,47287
PBANKA_0205100,3000,2528,2803,1220,841,1512,5154,6078,4187,1140,1869,1337,2271,1588,1660
PBANKA_0205200,73502,63848,65355,40692,18044,46555,67487,69354,50089,43154,54497,42447,43388,37697,47869
PBANKA_0205300,3287,2480,2849,2815,1366,3374,1738,1775,1283,2645,3195,2791,698,645,858
PBANKA_0205400,13178,10916,11783,10535,5624,13493,7639,7654,6248,9925,11361,9947,3041,2949,4477
PBANKA_0205500,553,512,441,357,166,398,965,1085,730,446,486,445,1499,825,940
PBANKA_0205600,1839,1349,1496,1877,587,1744,1467,1429,937,1569,1888,1683,1043,824,718
PBANKA_0205700,142,169,123,192,121,298,67,69,52,191,226,153,20,14,35
PBANKA_0205800,4426,4746,4131,1716,1088,1032,13878,18588,12130,974,1439,1024,12356,7371,9494
PBANKA_0205900,37086,32959,32118,12843,5667,12451,49656,50278,36610,12681,16320,13772,49507,27874,35865
PBANKA_0206000,4860,4238,4600,2990,1165,3123,5718,5110,3764,1794,2065,1879,2174,2139,2174
PBANKA_0206100,3401,2945,2894,3256,1538,3883,4101,3928,3073,2230,2677,2234,4910,2643,3334
PBANKA_0206200,1592,1291,1422,2423,939,2759,1326,1182,914,1529,1926,1539,932,603,673
PBANKA_0206300,17611,17152,17723,3306,1759,3677,17847,18216,13756,1522,1610,1568,10409,8974,13857
PBANKA_0206400,748,620,604,452,169,414,768,667,485,325,366,318,323,211,288
PBANKA_0206500,11483,10663,10272,5121,2514,5742,13581,12954,10198,2241,2371,2186,9060,6819,11655
PBANKA_0206600,5653,4824,4632,4277,1890,4635,12344,12699,10034,4505,5529,4613,19589,10253,11441
PBANKA_0206700,428,463,363,81,65,41,643,790,442,49,88,64,407,219,249
PBANKA_0206800,4131,3291,3861,1497,518,1316,4082,3698,2792,901,1120,979,1330,1409,1569
PBANKA_0206900,671,581,489,1386,818,2035,1086,1465,1140,1545,1800,1671,650,303,302
PBANKA_0207000,30700,28044,26231,18795,8197,21145,21347,23184,17348,15432,17719,14757,11719,10284,12979
PBANKA_0207100,890,963,889,55,30,12,1909,1953,1487,5,10,10,1311,1044,1225
PBANKA_0207200,3541,2572,2991,3267,1415,3211,2503,2536,1938,2949,3451,3219,631,601,398
PBANKA_0207300,4364,3416,3794,695,293,341,3694,3455,2517,123,133,141,1921,1663,2581
PBANKA_0207400,1709,1463,1634,924,490,892,1815,1863,1428,720,696,748,794,779,945
PBANKA_0207500,17761,15230,17010,1684,589,1127,20674,19469,13976,375,316,429,7528,7136,8345
PBANKA_0207600,5969,4125,4436,3916,1614,4264,4496,4601,3877,2781,3343,2771,1181,1241,1820
PBANKA_0207700,5445,4341,4502,5028,2121,5139,3680,3933,2553,3858,4763,4346,1340,1279,1828
PBANKA_0207800,2384,2236,2051,2476,1253,3119,2130,2040,1546,2208,2462,2323,1030,814,1217
PBANKA_0207900,518,741,598,25,8,22,2606,2371,1526,14,13,14,2081,1810,2655
PBANKA_0208000,6287,6216,6314,694,344,658,7650,7416,5878,367,440,421,4356,3810,5977
PBANKA_0208100,6483,5767,6280,6470,3148,6952,8181,7522,4774,6705,7318,6702,1925,1730,1919
PBANKA_0208200,6218,6138,6169,2614,1605,3768,8004,7351,4839,3114,3960,3003,3059,2593,3876
PBANKA_0208300,7998,7104,7654,1832,619,1699,6045,5793,4332,1252,1284,1288,1942,1617,2146
PBANKA_0208400,1231,884,1083,276,155,228,1514,1394,982,194,365,269,531,379,401
PBANKA_0208500,2132,1646,1718,3363,1192,3681,1433,1263,906,2285,2820,2150,352,282,404
PBANKA_0208600,1839,1365,1377,2646,1214,2691,1072,1158,799,2282,2951,2775,363,299,440
PBANKA_0208700,9568,7770,8068,9422,4844,11931,6267,6150,4808,10245,12796,10472,2399,2314,2524
PBANKA_0208800,70716,73014,66688,21615,10913,22145,181339,204635,140707,23802,28345,25258,208306,151460,161097
PBANKA_0208900,12048,13148,9678,298,117,158,47271,47442,37410,354,547,511,74566,38502,47607
PBANKA_0209000,7117,7732,6996,97,68,82,11102,11202,8638,100,69,78,6896,5552,7014
PBANKA_0209100,2668,2763,2614,55,24,5,4052,3912,3000,31,32,22,2540,1991,2968
PBANKA_0209200,2354,1947,2174,1478,677,1592,1646,1523,1235,1200,1402,1344,621,599,753
PBANKA_0209300,3742,3264,3417,1232,934,249,14079,12705,10938,178,218,182,3473,2493,3656
PBANKA_0209400,1787,1507,1578,1546,648,1463,1693,2085,1336,870,927,971,1564,947,1064
PBANKA_0209500,5148,5385,4964,4144,2333,4411,10594,11477,7858,3891,4924,4208,5158,3313,3712
PBANKA_0209600,1393,1153,1321,1000,372,961,998,1205,845,642,812,706,878,499,728
PBANKA_0209700,2710,2304,2505,1941,827,1790,3514,3469,2496,1026,1195,941,958,804,933
PBANKA_0209800,1551,1235,1243,1095,412,1112,1096,1178,903,954,1208,1022,490,389,421
PBANKA_0209900,2383,1948,1910,2622,1296,2906,1191,1145,899,2044,2619,2138,334,346,430
PBANKA_0210000,4428,3955,4315,2416,957,2314,3528,3397,2438,1707,1735,1638,2109,1731,2146
