gene,260Sch-1_S13,260Sch-2_S14,260Sch-3_S15,820LT-1_S1,820LT-2_S2,820LT-3_S3,820Sch-1_S10,820Sch-2_S11,820Sch-3_S12,G260-1_S4,G260-2_S5,G260-3_S6,G260sch-1-23468787,G260sch-2-23468788,G260sch-3-23468793
PBANKA_1034800,1148,874,991,732,302,693,1226,1457,977,694,883,779,318,314,298
PBANKA_1034900,29549,28403,27418,19688,11524,27171,60166,62433,47140,20272,23789,20188,83065,45934,64080
PBANKA_1035000,4102,4370,3948,1995,1074,2419,9164,9437,7542,2471,2815,2328,25085,13843,18996
PBANKA_1035100,13974,13431,11740,13264,8374,19582,31494,43913,31959,18790,22006,17955,31571,16067,18583
PBANKA_1035200,211,293,214,949,749,32,13430,13483,12462,44,57,57,800,643,758
PBANKA_1035300,4114,3565,3505,5160,3117,6414,2905,2995,2251,4764,5467,4868,1521,1459,1928
PBANKA_1035400,25935,33926,26484,4869,3378,1690,103591,108707,74496,985,1070,1027,87910,61493,103253
PBANKA_1035500,5741,5078,5330,4345,2141,5380,4755,4258,3420,2714,2818,2713,2411,1944,2574
PBANKA_1035600,3506,2418,2897,4423,1926,4781,2429,2639,1864,3631,4450,3905,1084,896,959
PBANKA_1035700,1342,1149,1155,728,343,826,1514,2776,1838,910,1264,1018,432,453,504
PBANKA_1035800,2229,1708,1906,1913,652,1968,2795,2428,1739,995,1007,997,1114,883,1167
PBANKA_1035900,5441,4754,4947,3422,1302,2937,10215,12900,8602,3210,3636,2849,8528,4661,4408
PBANKA_1036000,58694,53311,52078,32297,19753,37058,61177,73934,53153,36289,41614,36871,31976,21996,23885
PBANKA_1036100,1758,1468,1511,1313,510,1190,1370,1352,1100,1063,1286,1025,633,480,525
PBANKA_1036200,2822,2445,2343,2449,1417,3282,1902,1918,1456,2475,2996,2753,792,644,922
PBANKA_1036300,4501,5417,4137,3138,2040,3385,24717,28926,21016,4301,5284,4429,20505,12184,10829
PBANKA_1036400,5130,5112,4439,4497,2904,5667,25296,33017,22912,6372,8254,6507,19456,10801,9593
PBANKA_1036500,2272,1962,1857,1705,706,1820,3666,3422,2660,1461,1561,1556,3870,2743,3946
PBANKA_1036600,24384,20960,23395,8696,3256,7424,19368,18004,12862,5071,5379,5201,7718,7635,7521
PBANKA_1036700,1051,826,791,1778,737,1890,686,697,394,1487,1958,1596,128,171,216
PBANKA_1036800,1280,1155,1138,1894,693,1864,980,957,658,1509,1709,1385,244,213,369
PBANKA_1036900,3773,3024,3181,2568,1026,2563,3207,3013,2169,1855,2337,1767,1173,1055,1505
PBANKA_1037000,2340,1676,2031,1587,581,1586,1667,1471,1041,1001,1265,1085,507,433,567
PBANKA_1037100,4127,3701,3795,4012,1786,4602,3201,3315,2210,4058,5177,4417,975,922,1046
PBANKA_1037200,3431,2853,3175,2248,935,2528,2757,3030,2384,1974,2656,2050,1396,1101,1458
PBANKA_1037300,7725,6717,7073,5337,2136,5429,11860,11351,9022,5553,6986,5945,10836,5716,6374
PBANKA_1037400,3572,4245,2974,379,201,236,19599,18383,14144,319,456,418,49396,24285,24167
PBANKA_1037500,3407,2682,2645,621,283,376,4191,6193,5067,206,309,218,7802,5393,6406
PBANKA_1037600,4074,3973,3461,3565,2453,4351,8690,11933,8379,3845,4819,4104,5784,3524,3054
PBANKA_1037700,1416,1236,1317,1151,485,1325,850,881,666,864,1049,897,317,364,523
PBANKA_1037800,93,113,65,156,115,17,584,747,420,17,41,24,343,202,332
PBANKA_1037900,148,103,113,72,32,16,702,1470,1173,13,22,11,144,127,92
PBANKA_1038000,6342,6535,6365,3928,2263,5273,8872,8320,6133,3389,3936,3444,8092,5649,9386
PBANKA_1038100,1673,1385,1385,3582,1700,3665,999,999,746,2669,2936,2705,325,285,363
PBANKA_1038200,643,474,408,599,293,475,2129,3226,2328,306,635,286,282,250,219
PBANKA_1038300,9971,9023,9010,5605,2515,5882,8746,8962,6711,3595,4253,3900,3849,3533,4739
PBANKA_1038400,1306,1088,1179,873,502,948,2314,2458,1742,853,1001,870,879,747,1086
PBANKA_1038500,2016,1668,1951,1014,405,992,3203,3707,2615,975,1153,1148,1394,1236,1351
PBANKA_1038600,1034,718,770,312,131,247,1435,2418,1689,88,116,122,649,482,925
PBANKA_1038700,132,88,93,90,32,12,502,1000,853,7,14,7,63,36,59
PBANKA_1038800,141,101,133,450,339,13,7043,5579,4996,17,22,10,496,381,467
PBANKA_1038900,28156,24379,25142,6868,2983,7090,21918,21708,17228,4325,5295,4373,11352,9678,13006
PBANKA_1039000,871,889,788,684,454,873,1511,3098,1899,608,596,573,508,458,528
PBANKA_1039100,2641,2219,2360,2121,972,2270,1935,2035,1473,1796,2233,1773,684,631,767
PBANKA_1039200,3525,3933,3739,796,323,909,6220,5808,4089,795,974,903,4047,3882,6040
PBANKA_1039300,10723,9265,9941,7349,3727,9065,9978,10577,7854,8076,8852,7795,7941,7120,9614
PBANKA_1039400,21382,21041,20320,23762,17785,35143,23578,27236,20729,33285,35658,32864,14022,8508,11421
PBANKA_1039450,27,30,34,27,16,36,72,62,63,42,52,43,25,18,34
PBANKA_1039500,7508,6479,6439,4009,2385,4811,7068,5990,5089,4049,4355,4022,2684,2374,3437
PBANKA_1039600,16685,14833,15235,10326,4381,11317,11437,10662,8164,9501,11171,9589,4648,4185,5536
PBANKA_1039700,10561,10507,9623,5564,3296,8141,17000,17307,12140,5840,7267,5749,18936,13722,22735
PBANKA_1039800,4352,3441,3854,2832,1142,2739,2197,2141,1516,2431,2962,2556,843,825,1004
PBANKA_1039900,7305,5471,6259,5627,2139,5749,4219,4082,2807,3303,3451,3394,1446,1573,1869
PBANKA_1040000,2649,2141,2307,1722,929,2154,3484,4382,2780,1917,2239,2311,1354,1119,1394
PBANKA_1040100,7878,6640,6973,5551,2494,3973,16053,16123,10928,3650,3865,3607,4560,3251,3741
PBANKA_1040151,161,136,141,70,25,85,516,525,448,17,26,17,180,85,121
PBANKA_1040200,9611,8204,8009,532,268,869,523,564,406,17693,20769,18359,1133,784,680
PBANKA_1040300,369,335,314,626,352,891,282,382,230,321,396,325,52,59,63
PBANKA_1040400,106,104,90,187,78,210,125,100,76,212,222,236,24,19,25
PBANKA_1040500,4,0,0,339,183,443,204,255,176,2,0,4,0,0,0
PBANKA_1040521,2,5,4,490,320,551,291,323,209,4,0,2,0,2,1
PBANKA_1040541,76,97,126,173,75,180,118,196,105,218,239,191,32,31,27
PBANKA_1040561,10,14,16,29,15,38,60,85,55,18,26,29,27,14,7
PBANKA_1040581,45,54,44,101,65,99,489,657,535,109,119,104,313,227,115
PBANKA_1040601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_1040621,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
PBANKA_1100011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_1100021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
