gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tb05.5K5.270,559.8946781900663,2.175802067501984,0.13629671922736256,15.963715633334013,2.2870114133231775e-57,2.7949686851244307e-55
Tb05.5K5.70,711.3097148741526,0.8491266687096589,0.1147431430451853,7.4002388829045485,1.3593972768613095e-13,1.5013177060033105e-12
Tb08.27P2.60,34.502242541881564,1.4394977854733622,0.4889989921932188,2.9437643194662693,0.0032424681355570054,0.008454813038476549
Tb08.27P2.90,45.64390005528475,1.285695717781131,0.3654157992389999,3.5184458922101034,0.0004340823258614784,0.0013620799468248013
Tb09.v4.0150,900.4392920390087,0.6072285832391024,0.12631352102354795,4.807312616405492,1.52972686671714e-06,7.223234945637416e-06
Tb09.v4.0151,438.81569714843346,1.046709630375513,0.1289492779838927,8.117219783939074,4.769844928239798e-16,6.553597587794563e-15
Tb09.v4.0154,78.48041065439008,0.6693026892709671,0.25785486576812483,2.595656619770113,0.009441036417677282,0.02201012707012716
Tb1.NT.24,335.766859235729,0.6107754315615388,0.13836864376047392,4.414117353197702,1.0142293371297721e-05,4.246344659128905e-05
Tb10.NT.33,40.112846521450905,0.8166891098351546,0.34806743632915726,2.3463531045829735,0.01895813752341549,0.04064571658758134
Tb10.NT.73,77.51308510614048,0.6493251368713446,0.2763592945694674,2.3495686580142365,0.01879517745303704,0.040325619816079475
Tb10.v4.0032,155.9084156184191,0.8108592235465527,0.2032746023449961,3.988984428907496,6.635677676543955e-05,0.0002406566741887554
Tb10.v4.0214,366.8515257050753,0.9251446578273526,0.15495448380650262,5.970428445185329,2.366313487001376e-09,1.64017310949767e-08
Tb11.02.5390,93.99005966487948,0.957833427139483,0.23665964903559597,4.047303505446403,5.181104319565038e-05,0.0001920275216285717
Tb11.02.5400,285.17554399587414,0.6207045998434049,0.14637760791734414,4.240434098321252,2.2308792731865442e-05,8.835994323819455e-05
Tb11.1370,51.232104940118596,0.7529269744432323,0.31730607936051636,2.3728728297946438,0.017650339769360188,0.03821360274541199
Tb11.1390,550.7099282269559,1.1508097558933186,0.1598923768873002,7.197402267054072,6.137050716228556e-13,6.354618400482813e-12
Tb11.NT.18,250.8630518027264,0.7678071738462863,0.1614519575160231,4.755638678274224,1.9782000767564443e-06,9.177387929205249e-06
Tb11.NT.192,93.21299199419148,0.6598761750005702,0.24401636105719143,2.704229225211302,0.006846304255618632,0.016490786806583467
Tb11.NT.81,211.0859643806535,1.1678268987972067,0.21934372663236723,5.324186457151574,1.014058493048534e-07,5.650015167027465e-07
Tb11.NT.84,165.6732752607485,1.7235542282497,0.20899925703432323,8.246700264425565,1.6282815264552348e-16,2.3089280637734686e-15
Tb11.v5.0164,46.385155850184155,0.8775432246514672,0.3226770145316999,2.7195715378891885,0.006536655393253373,0.015789975368670307
Tb11.v5.0165,96.29882060339575,0.6793706446715329,0.23027360739261488,2.950275771348866,0.003174904062140854,0.008287945174020307
Tb11.v5.0222,207.32558839544473,0.7869323271995189,0.16937123365967754,4.646198236831199,3.381081141932771e-06,1.5112358828812116e-05
Tb11.v5.0228,109.4379186531744,1.5673144061091284,0.25670460145213286,6.1055173816250505,1.0246820208221207e-09,7.511638997155373e-09
Tb11.v5.0294,148.9412014921692,0.6157833695975365,0.19681403198202033,3.128757453908523,0.0017554714828711558,0.0048729286111498194
Tb11.v5.0397,169.92648567941393,1.6845992975341275,0.25561552370908786,6.590363813159269,4.3875009638389526e-11,3.762798610538891e-10
Tb11.v5.0402,204.6067158954746,0.6964171280285514,0.16556611321870476,4.206278171841953,2.5961065901155766e-05,0.0001013988141673401
Tb11.v5.0439,70.20808331910776,0.9844425278363906,0.277658674561335,3.54551331555437,0.00039184918953648535,0.0012404551030725547
Tb11.v5.0480,305.47634805234117,0.6820595347648328,0.1432590595259531,4.7610220046242135,1.926150431359705e-06,8.953996599834303e-06
Tb11.v5.0510,184.68738939699315,0.7953443804731971,0.17754189360900446,4.479756097593292,7.472838094233101e-06,3.188227846542813e-05
Tb11.v5.0511,121.16262125801661,0.6585535262244582,0.21517075469582642,3.060608897131093,0.0022088741920152266,0.00597960463288762
Tb11.v5.0537,186.513729367721,0.6712633701272139,0.1834285039141341,3.6595368538874604,0.0002526715043200114,0.0008275080860804887
Tb11.v5.0563,60.464914304541615,1.3061201883722264,0.31758245489512915,4.112696303715923,3.910646912028896e-05,0.0001477108113823684
Tb11.v5.0580,278.94251043906326,1.2597201355580474,0.16007233062283663,7.8696932234104064,3.555119340083379e-15,4.535707202018465e-14
Tb11.v5.0590,84.65288524769284,0.9525858139516049,0.25893774308402207,3.678821799425751,0.00023431391006812862,0.0007709201546981149
Tb11.v5.0638,173.18139746564512,1.018102837489904,0.20757126976023454,4.904835041313347,9.350588819986708e-07,4.554182955429289e-06
Tb11.v5.0663,228.5881520442712,0.7333693783845413,0.1658351394553033,4.422279745977496,9.76648898267576e-06,4.097161231756661e-05
Tb11.v5.0687,263.7539699543177,0.8617917742571918,0.1587633703750809,5.428152427233029,5.694040203800127e-08,3.2909922472243667e-07
Tb11.v5.0688,24.59951254977887,1.3603506024557757,0.453934922945217,2.996796531162572,0.002728327470754048,0.007225750085076589
Tb11.v5.0695,273.8156774833441,1.0716459278394168,0.18435095702139248,5.813074936817717,6.133558722072836e-09,4.0231986871901485e-08
Tb11.v5.0712,486.6092027810267,0.6874751791852276,0.1327121600739625,5.180197344403763,2.2165128227485395e-07,1.1824796724691807e-06
Tb11.v5.0717,311.62109334953004,0.6907107712180609,0.14609018098809984,4.727975326927171,2.2676973274919814e-06,1.0416603747648626e-05
Tb11.v5.0726,141.97443448546403,1.0043634309336775,0.20146317848349438,4.985344907659956,6.185137662334545e-07,3.085260934895986e-06
Tb11.v5.0759,1313.6671868263556,0.7748071020083045,0.12932608635019333,5.991112264158809,2.084107042233065e-09,1.4554275344556922e-08
Tb11.v5.0785,15.817642523005985,1.3152861973091052,0.5622763901559623,2.339216478472937,0.01932423268106479,0.0413556389727488
Tb11.v5.0800,99.67362529303364,0.8675127042158436,0.2825831059017759,3.0699383158361404,0.0021410298534577468,0.005814586338864196
Tb11.v5.0824,275.1098481079842,0.9444790630229627,0.16527892061332658,5.714455657854826,1.100557408001603e-08,6.977458843357604e-08
