gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tb05.30F7.410,99.27800697140316,-1.8246860676248038,0.6556818631875824,-2.7828832396768366,0.005387819182742545,0.013279215069783126
Tb05.5K5.130,704.9346977313731,-0.628927145589613,0.13083617709774795,-4.806981979607524,1.5322579615274436e-06,7.231510135501472e-06
Tb05.5K5.280,501.2622743123572,-1.6179467893365955,0.14686017596989398,-11.016919860345743,3.1671162592479397e-28,1.0814770520549583e-26
Tb05.5K5.290,54.930170785407306,-1.07495122607955,0.3203333059122109,-3.35572731976283,0.0007915657340155925,0.0023615877391766214
Tb05.5K5.420,307.35102987663817,-3.5071542936362397,0.20181351080469434,-17.378193757455115,1.206954551095782e-67,2.2420387741155244e-65
Tb05.5K5.500,606.8685005774178,-2.9719770510005823,0.1617742355138157,-18.37113951774337,2.2366624185501575e-75,5.326697575254837e-73
Tb05.5K5.90,91.69816002342615,-0.8042082994017864,0.24547446326069508,-3.2761383352031745,0.001052370009809772,0.0030621593518524947
Tb08.27P2.110,25.557129914292304,-1.9215529815850179,0.5244754504254348,-3.6637615355043334,0.00024853818976016393,0.0008151210121795208
Tb08.27P2.160,85.89117739124485,-2.1769669701373298,0.2916314525158254,-7.464788010199951,8.343382803557016e-14,9.427413561975373e-13
Tb08.27P2.260,38810.494169951555,-4.736663660673747,0.08442938629274366,-56.10207379987603,2.2250738585072014e-308,2.2250738585072014e-308
Tb08.27P2.330,105.67060002480423,-0.7442665579892515,0.24331108677791874,-3.0589093487078864,0.0022214435829803277,0.006004880092759396
Tb08.27P2.400,51.84386665343835,-2.4031637205739935,0.370415122657547,-6.4877581221103275,8.712299750668653e-11,7.186486685986719e-10
Tb09.v4.0012,19.71351513179462,-2.9348654073651006,0.6038155730813491,-4.860532815323232,1.1707023528798395e-06,5.622276863261608e-06
Tb09.v4.0016,93.34020524763595,-0.8324158257471843,0.23941441243641495,-3.4768826875377106,0.0005072797215508974,0.0015705380179215783
Tb09.v4.0018,31.06312312278418,-1.621478787736978,0.4070051997353132,-3.9839264677489887,6.778585514768635e-05,0.0002453604920544469
Tb09.v4.0039,467.66361165816335,-4.982945608973218,0.229808619377113,-21.683023128024054,2.9673430355358886e-104,1.4505622165293333e-101
Tb09.v4.0042,86.59840004003816,-1.311717496656715,0.33208918878987215,-3.949895211694766,7.818541500224927e-05,0.0002804890438551144
Tb09.v4.0152,355.9200931772804,-1.8512227236142746,0.2038876330337264,-9.079622417844499,1.0895215306868273e-19,2.0484769184249496e-18
Tb09.v4.0201,74.55015962183869,-0.7155350298602704,0.25936676018347066,-2.7587769124853003,0.00580181268929166,0.014180851646879196
