gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PBANKA_0000401,21.489373996055416,2.0992018289276366,0.8402829998229344,2.4982081386508868,0.012482288094719093,0.016491361883292543
PBANKA_0007701,61.267752753982165,2.148695042620332,0.514617065077658,4.175328002960967,2.9755700329032297e-05,4.82885001239988e-05
PBANKA_0008101,195.53268756750546,1.8970010522830942,0.29542803361707143,6.4211951352658465,1.3520857287937826e-10,2.9333192075770683e-10
PBANKA_0100021,1402.8345656560584,3.4703644668056595,0.16058578160947135,21.61065837849356,1.426007986910146e-103,3.163033233034315e-102
PBANKA_0100041,38.14140777380732,1.6356413577722424,0.7265725743090286,2.2511740954821193,0.024374512921412118,0.031256228131967795
PBANKA_0100061,1683.5507245339486,2.6841221266382203,0.13820650032409437,19.421099010133034,5.118283414017252e-84,8.779562149510927e-83
PBANKA_0100400,8115.778121958025,4.993296077936719,0.17471342136178022,28.579922704375807,1.1936601989768308e-179,6.750082839488759e-178
PBANKA_0100600,12011.067531217675,1.6911186694707243,0.12304376564009728,13.744041891705772,5.530028269994099e-43,3.6862079633924395e-42
PBANKA_0100700,94182.6244173191,1.3785740986195854,0.13071703238132323,10.546246908345168,5.286687281262633e-26,2.137100765858406e-25
PBANKA_0100800,5848.256711840557,1.3388616036828591,0.14402036740745028,9.296335148868664,1.4537007689080563e-20,4.908624774803712e-20
PBANKA_0100900,16457.452801747902,1.2063427623001748,0.11765870034437435,10.252898925190738,1.1484643750636923e-24,4.443607273742677e-24
PBANKA_0102600,9914.628622147333,2.076453818299563,0.095033521556851,21.849698761898303,7.824732852701763e-106,1.838633573516131e-104
PBANKA_0102700,472.76204204091283,1.7314730271243035,0.3875225963251983,4.468056943113838,7.893329669499035e-06,1.3326468005000667e-05
PBANKA_0102900,6741.576762197357,5.760484636794389,0.5840376312709334,9.863207999558023,6.009795119133076e-23,2.191807631683828e-22
PBANKA_0104400,778.7802048206495,3.1324775041062667,0.2224594297923407,14.081118103333907,4.961847691237718e-45,3.4882060408619257e-44
PBANKA_0104800,5876.847061999302,1.4774693122825924,0.12535345893918048,11.786426356207985,4.585901501833066e-32,2.2735114767276452e-31
PBANKA_0106000,6687.633448006083,1.3088671134612953,0.12649058597053364,10.347545656608784,4.293512490417803e-25,1.691762272258041e-24
PBANKA_0106200,1751.7861191922982,1.7240267100369306,0.1895260417700581,9.09651620397687,9.327578490581394e-20,3.0592555074908764e-19
PBANKA_0106300,16953.609515697593,3.3263067528504764,0.933380159106176,3.5637212987640705,0.00036563416553677856,0.0005500009984952536
PBANKA_0107200,540.8601898464774,1.9648387647311183,0.35329337245687753,5.561493415704942,2.6747577266776524e-08,5.2038953729615124e-08
PBANKA_0107900,5398.103453881317,1.6434067777989967,0.14195935387717412,11.576600857319361,5.415090293675261e-31,2.5946047161315544e-30
PBANKA_0108100,1157.4922488081008,1.779575269521384,0.14756102849603553,12.059927256261942,1.7193470638218e-33,8.847759990426982e-33
PBANKA_0108200,12239.111068279612,2.140173984405354,0.10647677612790356,20.099913448116645,7.392242371847206e-90,1.3537537098051858e-88
PBANKA_0108300,5114.979712632979,4.8760506679805,1.0959234282544683,4.449262185905477,8.616577878102207e-06,1.4514209414308989e-05
PBANKA_0108400,5714.629541586463,1.4671874454773226,0.10594603857858056,13.848440821023283,1.30003393660902e-43,8.825824060408993e-43
PBANKA_0108800,25824.61773565982,4.585579095023771,0.1424570723947555,32.18919930010149,2.499661184937831e-227,2.1802129589305217e-225
PBANKA_0109300,3126.537356962177,1.408037032960801,0.1222425609402246,11.518386248872167,1.065885258290029e-30,5.041402149963685e-30
PBANKA_0109900,4105.868548532893,3.195142469508773,1.0225714497817195,3.1246153705844373,0.001780376894628638,0.002538603352662503
PBANKA_0110300,1122.722115163341,5.315923564597078,0.27927414722851396,19.034785773591008,8.78510033425744e-81,1.421639192455622e-79
PBANKA_0110500,16804.75117969105,2.481102633949663,0.14269034149923385,17.388020856078647,1.0168535794936187e-67,1.2608984385720873e-66
PBANKA_0110600,235.83658070444662,1.3919227453242466,0.2863223416583335,4.861383632385972,1.1656809752721257e-06,2.076356628158657e-06
PBANKA_0110700,167.82200645821334,1.550356638720647,0.4084890424409046,3.79534449555017,0.00014743858553515295,0.00022770677105759214
PBANKA_0111000,9085.020258523902,5.410914605535327,0.1867684920027178,28.971238925335378,1.515934154407846e-184,9.070926928584623e-183
PBANKA_0111100,2344.0952899087138,1.0585919506197594,0.10839292405299707,9.766245904595921,1.5716816404979879e-22,5.636148935193481e-22
PBANKA_0111200,15578.462919272208,1.0505429797534667,0.11234652787920063,9.35091630854005,8.689164557155347e-21,2.9553496900939465e-20
PBANKA_0111600,17984.792037347946,6.050992163085806,0.1738600304310382,34.80381401109866,2.12968183170289e-265,2.4907597058961526e-263
PBANKA_0111900,5549.081595672599,4.0063849007148695,0.1370862090284739,29.225295010402625,9.25412978046053e-188,5.807530713445109e-186
PBANKA_0112100,37183.1805229195,6.788824992312345,0.19124664061076732,35.49774767614992,5.3248684096095166e-276,6.372505310662924e-274
PBANKA_0112200,62972.278243750625,6.996785949560878,0.209077071393467,33.46510405434876,1.5520359404832975e-245,1.5973553899454098e-243
PBANKA_0112300,5394.588260702348,2.123467657963169,0.15201035884804606,13.969229952847153,2.402097849844532e-44,1.6614510128091347e-43
PBANKA_0112500,7993.175110153398,1.6941723724752207,0.12017798312063735,14.097194248754969,3.9517125954562333e-45,2.793339700029914e-44
PBANKA_0112661,32.01800673106328,4.592610697536464,0.860176476524307,5.339149375595236,9.338368141212915e-08,1.771295335594606e-07
PBANKA_0200400,15086.789242702873,3.180261542793538,0.1382696195939261,23.000436047581633,4.6146716968638134e-117,1.334106772587707e-115
PBANKA_0201051,117.18888058002892,2.055449522060997,0.36842760342092273,5.578978075952356,2.4193572894309387e-08,4.714128213332681e-08
PBANKA_0201250,15924.227739358634,2.0984749778793885,0.1334617942653199,15.723413501452365,1.0453659430543359e-55,9.870556225610298e-55
PBANKA_0201300,10570.07812798475,2.8053107432028357,0.11948795869240526,23.477769424653694,6.881945397783891e-122,2.133403073313006e-120
PBANKA_0202400,2677.1840515749946,1.4445580087236942,0.1365101008497623,10.582059493996846,3.609359631886051e-26,1.467122011507553e-25
PBANKA_0202500,1886.106506846472,1.9199053618213584,0.19949333098450142,9.623907487767173,6.337680240189202e-22,2.2322862776190033e-21
PBANKA_0203750,2927.776521436737,1.8439755319805906,0.1072950997489192,17.186018152699145,3.379612776434785e-66,4.0729478565651995e-65
PBANKA_0203900,2669.5169217588805,2.0546029142550353,0.15107565802605025,13.59982766979414,4.013780640156089e-42,2.598102537640658e-41
PBANKA_0204500,3669.081560018849,3.0258562750662477,0.9426111656131873,3.2100789651667965,0.001326985125375525,0.0019122557981468642
PBANKA_0204600,18912.18944633771,6.8654589757901014,0.24390297674814154,28.14831974305707,2.5125969010000764e-174,1.3193697604639177e-172
PBANKA_0205000,39796.10900444205,4.444157650921184,0.2573304718257223,17.270234727315938,7.882116872788049e-67,9.657469863658883e-66
PBANKA_0205100,2634.2972666486194,1.2187562743897034,0.15776141566438223,7.725312740489447,1.1157905819353868e-14,2.9235531235435335e-14
PBANKA_0205800,6215.592158472505,2.574227614911626,0.2536921901118747,10.147051092808287,3.415274228648548e-24,1.294182708440753e-23
PBANKA_0205900,22875.357249975856,1.3117513459859274,0.09286968271658667,14.124645499102652,2.677437913934414e-45,1.905684025602558e-44
