gene,ERR022872,ERR022873,ERR022874,ERR022875,ERR022876,ERR022877,ERR022878,ERR022879,ERR022880,ERR022881,ERR022882,ERR022883
gene:Smp_169300,743,495,402,628,1609,2235,1748,2309,2219,2384,1869,1971
gene:Smp_169310,0,0,0,0,0,0,0,0,0,0,0,0
gene:Smp_169320,1646,1459,812,964,2852,3793,2609,7184,7210,8027,7938,8544
gene:Smp_169330,762,455,324,493,1299,1360,900,2153,4845,4239,3727,4382
gene:Smp_169340,590,307,241,529,744,1548,1394,382,280,305,219,235
gene:Smp_169350,0,0,1,0,3,6,2,18,11,6,2,6
gene:Smp_169360,595,481,450,879,1791,5193,3528,4300,2649,2263,2041,2073
gene:Smp_169380,19,21,2,0,34,21,22,66,197,202,214,239
gene:Smp_169410,20,33,11,2,24,37,19,57,193,200,233,212
gene:Smp_169430,1539,424,809,1429,3465,5239,3603,11343,9054,7036,7306,8248
gene:Smp_169440,3147,2486,1608,2591,5714,6009,4219,5113,2258,2575,1898,1996
gene:Smp_169460,296,218,256,110,1669,1194,729,3522,1511,1707,1156,1389
gene:Smp_169470,931,1921,539,571,1856,2204,1694,4323,4895,3925,4119,4362
gene:Smp_169480,900,811,1007,914,4449,3098,2471,11580,5791,5109,5179,5436
gene:Smp_169520,1645,1299,702,1174,2617,2517,1933,5017,4809,4003,3484,3987
gene:Smp_169530,1796,687,923,1310,3262,4181,2866,5951,5743,4824,3780,4480
gene:Smp_169550,1409,535,566,1044,2546,2782,2113,7582,5371,4851,4427,4872
gene:Smp_169580,758,586,205,519,801,324,164,408,817,721,700,708
gene:Smp_169610,2306,4042,531,1983,2309,5410,3734,4565,3856,4349,5192,4213
gene:Smp_169630,849,160,221,1028,939,3413,2182,3904,2194,2047,2232,2113
gene:Smp_169640,996,1006,440,943,1653,2009,1381,2838,2101,2427,1637,2009
gene:Smp_169660,642,134,358,261,1578,1967,1416,5270,2180,2001,1490,1962
gene:Smp_169670,965,543,353,593,1254,1893,1527,2537,2786,2102,1963,2248
gene:Smp_169690,1705,3301,971,1402,3430,3428,2613,4299,4994,4201,3116,3891
gene:Smp_169700,238,466,155,138,547,773,581,1701,3957,3072,2415,2889
gene:Smp_169720,993,269,225,676,949,2116,1640,1753,2123,1556,1505,1638
gene:Smp_169730,912,1773,346,1014,1361,1331,944,5713,10770,9347,9554,11013
gene:Smp_169750,692,303,406,477,1775,1475,1129,3213,5425,4911,3964,4811
gene:Smp_169760,73,31,11,112,23,350,192,5,28,30,29,15
gene:Smp_169780,295,256,210,229,757,515,369,1693,2091,1449,1338,1575
gene:Smp_169800,549,318,220,454,826,1240,922,3354,4659,3780,2768,3609
gene:Smp_169820,1175,628,638,960,2132,2418,1781,6754,5069,4117,4045,4762
gene:Smp_169860,2,9,2,0,9,2,8,108,129,109,64,96
gene:Smp_169870,73,946,17,12,105,177,124,719,1452,1516,1363,1376
gene:Smp_169880,16,0,2,6,21,26,16,156,430,401,326,499
gene:Smp_169890,16,44,17,19,83,54,52,310,349,305,331,398
gene:Smp_169930,6,67,0,2,5,2,8,12,2,5,11,8
gene:Smp_169940,2934,1654,1309,2389,5267,5129,3436,12120,10097,8829,8924,9651
gene:Smp_169950,1049,1091,844,714,3169,2862,1962,9545,5704,5910,6632,6940
gene:Smp_169960,1103,662,438,475,1451,1440,1277,3243,2778,3389,3722,3659
gene:Smp_169970,46,55,20,13,51,84,89,287,220,144,169,222
gene:Smp_169980,1039,681,552,880,2118,3087,2449,6284,7577,7207,5362,6706
gene:Smp_169990,927,1606,304,492,1201,1485,1247,3855,3424,3730,3877,3871
gene:Smp_170010,79,48,9,109,65,238,166,25,67,59,62,44
gene:Smp_170020,42,47,27,14,132,29,40,194,146,126,132,139
gene:Smp_170030,1277,1731,318,551,918,2169,1323,1516,1243,1438,1278,1457
gene:Smp_170060,1479,1883,529,1093,2160,2075,1502,2396,2588,2287,1852,2124
gene:Smp_170150,444,202,154,259,687,1446,1029,2373,2349,2326,2838,3206
gene:Smp_170160,14952,3272,4390,8651,16243,34814,28168,40713,13508,15236,17136,15543
gene:Smp_170170,2282,1938,1661,2476,6378,6988,4385,11444,7659,7039,5663,6348
gene:Smp_170200,761,561,253,542,1119,1403,1197,2170,2858,2593,1986,2312
gene:Smp_170210,36,4,2,24,12,111,71,31,20,20,33,24
gene:Smp_170230,529,474,232,272,748,1312,932,1077,1055,1169,1072,1052
gene:Smp_170260,283,159,151,218,784,1421,964,5921,6319,5943,6923,6673
gene:Smp_170280,4,140,16,2,55,19,4,197,662,621,488,652
gene:Smp_170290,728,253,200,320,758,1289,833,1429,3092,2743,2377,2779
gene:Smp_170300,2477,678,635,2831,2445,5594,3806,3877,2433,2192,1701,2133
gene:Smp_170320,45,34,18,10,33,116,113,16,63,27,42,56
gene:Smp_170340,2915,4641,1526,2013,5119,2749,1810,1456,996,1114,1090,1209
gene:Smp_170350,1695,1304,617,1300,2525,4057,2936,7793,7358,5074,5453,6037
gene:Smp_170380,132,144,55,37,143,269,203,380,667,475,336,368
gene:Smp_170390,747,299,334,842,1471,2358,1620,3018,4692,3754,3056,3886
gene:Smp_170400,763,719,270,546,1222,1228,818,2987,3608,2746,2498,3164
gene:Smp_170420,0,0,0,0,0,0,2,0,0,0,0,0
gene:Smp_170430,0,5,2,0,3,4,4,1,11,13,15,10
gene:Smp_170440,552,719,221,275,851,1005,712,1579,2494,2364,2125,2268
gene:Smp_170450,627,755,208,755,767,1252,880,1519,3736,4147,3304,3645
gene:Smp_170490,0,0,0,1,0,0,0,0,3,0,0,0
gene:Smp_170540,3095,969,2048,2869,8254,7634,5396,19017,14389,13111,10782,12191
gene:Smp_170550,5285,13440,2276,4803,8398,8118,5891,18777,27795,25368,19189,22307
gene:Smp_170560,84,68,13,42,97,98,92,513,518,362,302,294
gene:Smp_170570,3857,5034,1600,2509,5299,6697,4769,7838,10124,9429,7180,8582
gene:Smp_170580,29,74,6,19,46,97,61,107,228,115,149,147
gene:Smp_170600,20,132,10,34,18,75,27,24,34,31,38,35
gene:Smp_170610,7,0,2,7,14,20,16,54,23,22,17,44
gene:Smp_170620,105,51,78,65,320,181,128,785,821,628,358,531
gene:Smp_170630,158,118,23,160,123,498,392,300,131,90,199,269
gene:Smp_170690,1488,31,367,1978,1266,3260,2504,2193,2896,2607,2379,2807
gene:Smp_170700,84,32,8,91,65,403,294,101,128,80,85,152
gene:Smp_170740,2,0,0,1,4,16,4,1,17,14,30,20
gene:Smp_170760,4320,302,4535,3068,19676,13311,9473,47491,18215,12644,9103,11737
gene:Smp_170770,4,0,2,5,11,20,7,0,3,1,0,2
gene:Smp_170790,16,24,12,41,57,94,78,185,178,169,135,137
gene:Smp_170800,2603,1596,994,1759,3284,4100,3044,7186,7124,6170,5538,6692
gene:Smp_170810,8,44,1,6,30,42,26,77,22,19,17,21
gene:Smp_170840,1,1401,3,0,8,0,0,6,3,1,1,0
gene:Smp_170850,0,0,0,0,0,0,0,0,0,0,0,0
gene:Smp_170890,0,1,1,0,11,1,9,0,2,0,0,0
gene:Smp_170910,1070,509,409,1181,2009,4291,3054,2817,7792,6433,5117,5923
gene:Smp_170930,385,22,85,500,422,1666,977,1027,375,253,255,378
gene:Smp_170940,46,36,18,47,113,215,136,1667,3226,3182,4125,3878
gene:Smp_170950,230,162,158,228,631,456,327,1011,841,963,561,788
gene:Smp_170980,0,12,0,0,0,0,4,0,15,7,2,5
gene:Smp_171000,2,18,2,4,8,16,19,43,30,25,25,45
gene:Smp_171010,87,31,14,137,39,253,144,30,20,65,64,38
gene:Smp_171020,1919,787,268,2194,1146,4614,2994,1768,1876,2056,1921,2180
gene:Smp_171030,503,197,124,161,685,857,663,1906,2821,2341,2357,2785
gene:Smp_171040,435,946,215,242,825,897,503,2712,4264,4036,4557,4540
gene:Smp_171060,4,2,0,0,4,43,13,6,18,9,3,12
gene:Smp_171070,1244,1466,864,816,3119,3054,2019,5947,3840,4318,3758,3832
gene:Smp_171080,199,245,65,211,395,404,293,664,730,752,442,555
gene:Smp_171090,120,122,35,113,158,254,269,117,330,188,172,261
gene:Smp_171120,97,721,28,34,117,105,80,272,1030,1064,1116,1189
gene:Smp_171130,0,0,0,0,0,0,1,20,0,0,1,0
gene:Smp_171140,207,515,167,279,788,1130,764,3960,4282,4573,4171,4981
gene:Smp_171150,1092,1351,598,839,2236,2316,1541,3104,3126,4036,3002,3257
gene:Smp_171170,2488,2442,1828,2050,6627,5285,3767,12153,8721,10177,7563,8903
gene:Smp_171180,364,341,229,253,977,901,558,2183,1530,1159,1046,1383
gene:Smp_171190,469,360,701,158,2343,732,496,4993,7956,8855,7857,7852
gene:Smp_171200,735,534,392,561,1494,1247,937,3773,3010,2434,2000,2303
gene:Smp_171270,263,30,15,222,128,434,309,418,434,205,283,333
gene:Smp_171280,46,97,31,38,167,275,244,891,1321,815,831,1056
gene:Smp_171310,0,1,1,0,3,1,0,16,11,8,5,3
gene:Smp_171370,61,97,9,16,59,98,62,153,186,154,185,190
gene:Smp_171460,84,145,6,110,57,261,208,42,194,355,272,303
gene:Smp_171490,1433,893,1174,1217,5186,4733,3100,10031,11001,10096,7708,8627
gene:Smp_171530,1569,744,775,1012,2920,3101,1962,6875,4197,4256,3506,3929
