gene,ERR022872,ERR022873,ERR022874,ERR022875,ERR022876,ERR022877,ERR022878,ERR022879,ERR022880,ERR022881,ERR022882,ERR022883
gene:Smp_000020,3210,2088,1110,2285,4027,5330,3281,9008,8140,7242,6129,6792
gene:Smp_000030,12471,11096,5521,9389,18769,23578,17393,26427,23891,23569,21432,22569
gene:Smp_000040,2613,6520,1253,1883,4733,4596,3082,12887,11370,10838,9726,10749
gene:Smp_000050,921,674,933,213,3709,1575,1104,18191,8154,6218,5800,7325
gene:Smp_000070,1417,951,435,647,1533,2135,1618,2030,2333,2397,2197,2459
gene:Smp_000075,0,0,4,0,4,22,0,0,4,2,1,5
gene:Smp_000080,0,0,0,0,1,14,4,223,43,19,40,21
gene:Smp_000100,23704,5337,8419,15485,29972,53937,37706,37590,12204,10429,8796,11065
gene:Smp_000110,2378,736,829,1655,2855,2953,2191,4338,4081,3980,3416,3516
gene:Smp_000130,3759,3104,1726,2400,6581,5593,3068,20793,9464,9354,10660,10054
gene:Smp_000150,5702,3414,2651,4774,9337,7566,5416,12552,4869,3637,3382,4185
gene:Smp_000160,54,73,48,30,193,201,111,914,2373,2671,2184,2234
gene:Smp_000180,4,52,2,11,0,11,1,18,24,35,11,41
gene:Smp_000190,291,931,208,122,653,282,245,952,2086,1699,1565,1814
gene:Smp_000200,493,710,428,421,1869,2182,1783,5981,2120,1309,1431,1775
gene:Smp_000230,2226,1695,1263,2197,4497,4810,3522,7998,6192,4925,4413,4671
gene:Smp_000240,9941,9842,3214,5478,10805,10777,7593,11147,18160,19635,15668,18126
gene:Smp_000250,1,4,13,3,54,16,2,31,8,7,5,2
gene:Smp_000260,7803,19842,3987,10177,16040,22514,15420,29228,38904,31333,24510,31525
gene:Smp_000270,4,240,0,0,2,40,10,0,8,5,0,1
gene:Smp_000280,1,584,3,0,3,4,0,0,0,0,0,0
gene:Smp_000300,191,183,74,229,274,378,273,367,668,528,337,573
gene:Smp_000310,1316,2546,461,1009,2065,1791,1332,4489,2845,3607,2775,3069
gene:Smp_000320,1038,1021,115,782,397,1888,1024,492,895,1095,1211,1243
gene:Smp_000340,171,306,64,193,267,401,289,1143,297,266,341,267
gene:Smp_000370,526,1211,268,518,1026,1301,1334,2551,1699,2049,1215,1631
gene:Smp_000390,0,909,0,0,2,0,0,0,0,0,0,0
gene:Smp_000420,2,1845,0,0,4,3,4,0,1,0,0,1
gene:Smp_000430,0,1410,0,0,4,8,0,0,0,0,0,0
gene:Smp_000470,730,776,448,701,1768,1031,915,2711,2131,1680,1376,1809
gene:Smp_000480,1937,1887,931,1184,3563,3476,2471,8541,11365,9166,8655,10487
gene:Smp_000500,2,4,2,0,12,16,20,0,0,0,0,1
gene:Smp_000510,381,660,135,205,558,648,449,774,1562,1012,892,993
gene:Smp_000560,0,2,0,0,0,1,0,0,0,0,2,0
gene:Smp_000580,38,9,4,63,27,190,160,107,209,240,165,167
gene:Smp_000590,905,938,404,651,1433,1887,1336,2507,1407,1489,1228,1314
gene:Smp_000600,1706,1402,678,1031,2494,2657,2109,3250,3592,3562,3170,3430
gene:Smp_000620,19,14,45,6,173,67,38,629,384,257,196,237
gene:Smp_000630,92,173,71,76,281,61,82,726,357,346,361,422
gene:Smp_000640,2025,1297,769,1221,2778,3475,2861,3077,2234,1090,1385,1766
gene:Smp_000650,1783,1335,1157,1634,4096,3472,2538,9569,5600,5429,4285,4582
gene:Smp_000660,10656,6906,3465,9570,11973,19773,14769,10978,9471,7058,8881,10238
gene:Smp_000670,1486,2390,710,1215,3017,3744,2433,7207,7850,7468,7101,7579
gene:Smp_000680,285,652,384,366,1288,1019,771,1099,2524,1950,1990,2301
gene:Smp_000690,11,16,44,10,204,35,35,196,48,36,80,66
gene:Smp_000700,461,699,346,424,1350,1275,900,4844,2855,2783,2076,2485
gene:Smp_000710,866,1292,463,678,1513,2072,1483,4531,3281,3151,2832,3043
gene:Smp_000720,3922,3805,2149,3269,7369,8251,5673,16161,12533,13225,10084,11497
gene:Smp_000740,6822,10404,3591,6335,12415,15333,10521,10213,9206,10333,8570,9179
gene:Smp_000755,1843,451,1022,692,5064,5246,3671,16078,11678,7840,6400,8223
gene:Smp_000770,0,0,1,0,4,0,0,0,0,0,0,0
gene:Smp_000790,2408,1192,620,3177,2347,4474,2835,3736,3271,3004,2623,3116
gene:Smp_000810,376,487,180,185,620,499,403,957,1425,1445,1213,1474
gene:Smp_000820,820,926,752,385,3997,3953,3205,4445,3135,2539,2658,2849
gene:Smp_000830,11,2,12,0,53,22,23,373,428,275,179,241
gene:Smp_000850,419,1617,193,170,706,738,796,2134,1780,1997,2318,2357
gene:Smp_000870,1224,380,411,398,1656,2604,1824,4414,1347,1070,1048,1384
gene:Smp_000880,5310,4790,854,9709,2796,8326,5438,1643,2205,3451,2667,2540
gene:Smp_000900,32,24,57,57,221,125,86,815,380,471,558,529
gene:Smp_000910,74,2,7,95,37,259,217,28,93,58,73,54
gene:Smp_000950,18,0,37,41,121,96,65,457,415,392,409,528
gene:Smp_000980,3977,3302,1461,1658,5056,7045,4699,5875,3398,3888,3286,3269
gene:Smp_000990,2730,604,1066,2111,3985,5538,3458,13144,8754,6765,7396,8507
gene:Smp_001000,96,63,274,44,1510,135,102,1691,1665,1869,1226,1410
gene:Smp_001020,724,174,169,378,707,1380,1026,1163,629,577,818,843
gene:Smp_001030,294,304,113,189,434,437,360,946,1257,1284,1312,1353
gene:Smp_001040,3778,4826,1981,2161,8137,8010,5154,23045,31433,27178,25777,29579
gene:Smp_001070,82,107,80,75,329,123,135,4079,4119,4710,6640,6422
gene:Smp_001080,725,615,193,766,574,1576,1166,341,239,148,167,190
gene:Smp_001090,1076,466,437,830,1779,2175,1445,4647,4861,3823,3360,3971
gene:Smp_001095,428,117,173,317,750,607,463,2224,2838,2419,1876,2314
gene:Smp_001100,492,178,66,385,339,738,575,785,335,289,258,351
gene:Smp_001120,68,86,17,63,134,232,255,507,380,349,425,437
gene:Smp_001160,65,24,3,87,24,190,140,34,148,111,116,92
gene:Smp_001170,5172,2261,1832,3052,6970,7905,6189,11400,14556,13118,10914,12821
gene:Smp_001180,2769,1315,1333,2049,5002,6708,4414,11309,14917,13536,12479,13132
gene:Smp_001210,73,132,41,21,185,290,287,716,1368,932,1016,1200
gene:Smp_001360,1583,3409,616,967,2203,4186,2562,2911,4378,3288,3479,4010
gene:Smp_001390,695,479,316,398,1280,1259,845,3630,4043,3021,2923,3184
gene:Smp_001410,152,2787,57,114,241,504,310,456,1214,1154,845,1041
gene:Smp_001420,1560,1085,453,705,1672,2481,1757,4830,4469,3958,4665,4479
gene:Smp_001500,1795,4259,721,1039,2625,4070,3178,3368,2963,2681,2760,2737
gene:Smp_001530,1120,1049,378,659,1411,1841,1249,3919,4061,3735,3344,3445
gene:Smp_001560,83,84,21,73,46,246,189,190,241,195,172,202
gene:Smp_001590,528,786,211,360,888,906,661,1664,1451,1422,1430,1275
gene:Smp_001610,176,140,47,220,110,396,315,226,198,240,245,202
gene:Smp_001640,842,1115,406,534,1258,1196,1150,490,502,439,455,493
gene:Smp_001780,14,353,12,12,51,78,66,131,834,684,611,744
gene:Smp_001830,5306,5517,2604,2683,7738,7743,8904,3346,3994,4182,4213,3498
gene:Smp_001890,0,0,2,4,6,15,5,6,0,0,2,6
gene:Smp_001900,17,5,9,9,83,79,68,924,1116,2348,1627,1466
gene:Smp_001940,571,381,203,477,971,2039,1615,2627,1486,1553,1564,1783
gene:Smp_001950,478,448,411,618,2252,1222,832,8527,7272,5317,6414,6713
gene:Smp_001960,1603,987,553,1100,2269,2724,1921,5329,2795,2453,2225,2622
gene:Smp_001980,87,8,43,85,153,377,255,493,483,509,493,515
gene:Smp_002010,160,236,81,88,249,477,384,418,606,419,453,568
gene:Smp_002060,4,7,6,6,28,2,0,0,0,0,0,7
gene:Smp_002070,0,0,2,0,13,2,16,0,0,2,1,2
gene:Smp_002080,2400,10013,877,1395,2887,4491,2977,3996,6557,5855,5054,6203
gene:Smp_002100,221,1026,126,102,476,338,319,972,1161,1116,876,915
gene:Smp_002160,784,1111,814,684,3090,1824,1286,4033,2591,2476,1731,2027
gene:Smp_002180,3805,2884,1503,2294,5262,7603,6001,5547,3973,4627,4408,4436
gene:Smp_002230,2964,859,893,1025,3140,4836,3330,8386,4080,4572,4172,4249
gene:Smp_002280,1403,2782,893,1060,3213,3367,2166,9347,12215,11396,9840,11256
gene:Smp_002380,564,1121,218,260,795,1099,859,1848,3043,2524,1973,2698
gene:Smp_002410,1759,4672,1050,1334,3677,5259,4636,4768,7752,6076,6245,7183
gene:Smp_002510,11237,1420,700,15560,2433,14322,10389,952,2299,2646,2139,2119
gene:Smp_002550,2005,1601,882,1357,3068,4600,3653,1827,1444,1795,1867,1614
gene:Smp_002600,825,6173,349,485,1284,1116,748,1546,1396,1240,1071,1300
gene:Smp_002630,1,0,0,0,0,0,0,0,0,3,0,0
gene:Smp_002640,1356,90,103,3878,478,8934,6151,851,561,530,501,516
gene:Smp_002740,2219,1879,454,2173,1745,3488,2421,1172,1621,1738,1456,1551
gene:Smp_002820,8557,2537,3540,6179,11825,16567,11750,15815,10227,9120,8078,8903
gene:Smp_002840,1987,1014,826,1236,3306,3856,2922,7428,7028,5140,4471,5474
gene:Smp_002860,0,0,0,0,1,0,1,0,1,0,0,1
gene:Smp_002870,536,790,402,376,1483,1143,728,2114,1459,1420,1349,1575
gene:Smp_002880,5078,11163,1628,4404,5556,5903,4272,7028,6202,6764,5518,6540
gene:Smp_002920,2626,1603,1258,1124,4497,4070,2456,3781,3302,3191,2705,3062
gene:Smp_002950,92,54,29,46,140,190,166,102,111,61,24,70
gene:Smp_003000,451,574,208,256,757,859,625,1933,1598,1543,1293,1477
gene:Smp_003130,502,628,202,337,858,899,571,2098,1444,833,940,1257
gene:Smp_003140,1453,1160,530,688,1803,2545,1682,7010,5563,3872,3773,4898
gene:Smp_003190,33,13,2,61,17,111,99,0,8,21,37,11
gene:Smp_003230,53,1146,27,7,81,250,184,199,205,179,115,142
gene:Smp_003250,606,505,248,353,785,1382,969,465,413,410,519,465
gene:Smp_003270,3436,710,1494,4280,6422,6915,5132,17766,5310,5066,4371,4707
gene:Smp_003280,9,26,3,2,29,31,17,116,422,384,430,445
gene:Smp_003300,0,4,2,2,10,6,2,6,2,0,4,6
gene:Smp_003330,52,235,12,106,32,127,81,20,77,84,54,57
gene:Smp_003340,1292,1560,639,794,2411,2592,1853,7039,7954,6316,5539,6474
gene:Smp_003410,3606,5297,1894,2975,6040,10518,8025,4325,8601,8732,8751,8693
gene:Smp_003440,33,169,9,2,64,51,36,59,391,293,323,412
gene:Smp_003600,0,2,0,0,4,2,2,20,15,10,13,21
gene:Smp_003610,10,1351,49,8,150,21,28,191,294,304,200,231
gene:Smp_003620,452,1049,300,388,867,1128,680,2565,5080,4162,3617,4263
gene:Smp_003630,2335,2373,1233,1780,4313,4511,3077,5530,5847,5459,4184,4971
gene:Smp_003660,14142,12214,4415,9896,13854,21323,14386,11976,13034,14192,10371,11717
gene:Smp_003670,502,500,250,373,857,1071,685,2462,1330,1544,1354,1236
gene:Smp_003700,659,1356,288,327,1013,1583,1131,1038,1405,1652,1238,1545
gene:Smp_003710,19811,6032,4755,15075,16714,31375,25561,23541,12253,10610,9695,11449
gene:Smp_003770,80470,11409,9454,84504,28944,248543,173411,29904,23297,24752,20351,19418
gene:Smp_003860,155,322,88,133,405,383,424,763,913,673,622,846
gene:Smp_003900,53,46,71,15,230,121,90,1388,892,1170,1227,1209
gene:Smp_003930,82,118,29,110,97,376,227,110,257,155,181,153
gene:Smp_003940,307,319,158,261,533,614,453,1503,1136,1086,842,1029
gene:Smp_003970,1880,2395,887,890,2765,2904,2073,3213,5416,4409,4142,5084
gene:Smp_003980,5784,1931,1485,6039,5715,6969,4971,5389,3317,2912,2482,2896
gene:Smp_003990,22954,10181,2945,33162,10964,60748,40744,16319,11882,8852,9874,11047
gene:Smp_004000,233,182,108,186,290,407,383,262,446,371,340,368
gene:Smp_004060,133,348,57,107,228,607,461,367,237,259,243,265
gene:Smp_004070,562,34,43,833,219,937,503,527,247,251,243,298
gene:Smp_004080,185,838,85,102,311,567,374,1000,1080,1106,1104,1155
gene:Smp_004160,29,56,9,41,18,79,58,26,53,24,14,25
gene:Smp_004170,924,493,376,501,1198,2086,1205,1618,1887,1600,1319,1456
gene:Smp_004190,3136,1540,715,2056,2523,4954,3742,4879,4254,3255,2577,3395
gene:Smp_004200,339,719,172,192,852,1026,651,4440,4936,3632,3774,4169
gene:Smp_004220,4370,5363,1299,2963,4567,8497,6270,6129,7684,7074,6674,7582
gene:Smp_004260,391,336,186,442,718,1074,790,1466,1459,1644,1618,1743
gene:Smp_004310,9637,11650,3861,8206,13079,9762,8492,14678,14541,16459,11090,11889
gene:Smp_004350,330,842,178,213,717,1120,643,3520,2746,1209,1329,1832
gene:Smp_004360,1493,1333,610,995,1924,3952,2886,2306,2341,1858,1684,1983
gene:Smp_004420,14,604,13,2,52,48,26,114,234,98,86,131
gene:Smp_004440,107,91,6,106,59,201,95,117,301,203,268,322
gene:Smp_004470,3240,2927,627,4207,2249,5598,4331,2754,2546,2715,2292,2698
gene:Smp_004480,5533,2772,2035,3221,7404,9754,7468,11658,14890,15203,10583,12196
gene:Smp_004550,2405,1301,538,3042,1925,5909,5113,1593,2090,1667,1531,1763
gene:Smp_004590,572,371,179,120,616,873,577,2947,1930,1705,1681,1664
gene:Smp_004600,4198,5273,1685,2935,5529,6090,5325,9653,13319,12651,11628,13011
gene:Smp_004630,553,160,168,726,686,1801,1069,1468,1631,1102,930,1205
gene:Smp_004640,445,501,102,158,380,516,311,791,1834,1512,1509,1469
gene:Smp_004680,23402,9878,8297,20387,28589,40853,32877,36465,21008,18715,17701,19141
gene:Smp_004690,169,195,80,196,271,235,178,786,1109,994,1035,931
gene:Smp_004710,246,304,91,318,392,566,489,553,2003,1340,1204,1411
gene:Smp_004730,706,89,373,445,1609,1137,768,6010,3334,2917,2181,2662
gene:Smp_004780,2741,19675,1394,1122,4980,3314,2294,6053,17145,22865,17760,20749
gene:Smp_004810,7131,5924,1976,4171,6944,10927,9432,19423,11270,11359,10089,10426
gene:Smp_004820,501,1473,238,447,921,1644,1185,536,569,525,570,485
gene:Smp_004910,1656,2961,811,990,2915,2484,1843,9153,7616,7701,7202,8305
gene:Smp_004940,1902,3289,1430,1384,4655,5085,5579,788,775,618,1037,850
gene:Smp_004990,2805,6358,1920,1769,6581,5391,3665,9652,17962,22318,18642,20705
gene:Smp_005000,1316,1704,593,785,1999,3581,2096,4142,3134,3128,2918,3223
gene:Smp_005010,1319,1085,551,637,1760,2121,1427,2003,2670,2353,1953,2374
gene:Smp_005020,646,1039,357,404,1231,1236,846,1734,2509,2320,2013,2307
gene:Smp_005070,204,392,60,191,293,586,443,839,753,510,592,558
gene:Smp_005080,1308,746,513,732,1848,2921,1953,1874,1789,1506,1363,1455
gene:Smp_005140,18,6,37,18,167,494,402,561,118,142,157,177
gene:Smp_005160,1125,4154,1650,1046,5976,2637,1756,14482,7264,6251,5683,6227
gene:Smp_005180,2164,3490,1103,1066,3759,4865,3419,5275,6413,6258,5356,6421
gene:Smp_005190,3045,3222,1203,1614,4549,6897,4618,13125,11414,10645,9838,11472
gene:Smp_005210,2809,3761,1301,1631,4574,6042,4312,8876,8072,7701,6697,7507
gene:Smp_005230,6368,3940,1686,4998,6400,16544,10987,9747,11175,12249,10818,11870
gene:Smp_005260,6475,4611,2277,3973,7601,5222,4972,4790,4901,3870,2934,3509
gene:Smp_005280,386,326,179,172,790,1095,741,1626,2253,1977,1792,1982
gene:Smp_005290,5987,2494,924,14241,3676,19675,11745,2919,1726,2286,1632,1951
gene:Smp_005320,390,188,135,444,533,1716,1342,652,422,268,335,342
gene:Smp_005330,587,554,256,357,1074,1200,727,2419,2426,1769,1555,1959
gene:Smp_005390,2015,1178,641,1198,2302,3139,2263,4333,4331,3726,3024,3593
gene:Smp_005470,1,10,0,0,6,0,0,14,156,198,196,233
gene:Smp_005500,154,837,106,71,459,315,248,1249,2614,3011,2602,2527
gene:Smp_005520,3298,806,1229,2075,4339,4507,3275,5115,7258,4569,4873,5735
gene:Smp_005640,53,71,21,39,138,187,118,849,621,580,494,592
gene:Smp_005670,2951,2255,1502,2157,5448,5740,4545,5376,5221,5380,4935,4854
gene:Smp_005720,1631,2580,725,857,2679,2633,1810,6381,4771,4927,4982,4786
gene:Smp_005780,414,451,217,426,768,1416,1038,1464,2397,1319,1313,1531
gene:Smp_005790,699,1023,225,340,899,1038,723,3803,3598,2401,2905,3431
gene:Smp_005880,42445,1494,5168,65448,19805,49481,37726,13475,2532,2232,1669,1896
gene:Smp_005900,406,1094,300,324,1272,1674,1379,6325,7413,6614,7347,7854
gene:Smp_005910,891,1743,741,966,2404,2473,1564,2519,2587,2368,1807,1994
gene:Smp_005960,155,72,145,90,503,559,368,443,218,302,275,262
gene:Smp_006000,1223,1468,854,745,2921,1933,1591,2992,2876,3694,2562,2935
gene:Smp_006060,2161,4493,675,2001,2373,5066,3884,7296,7361,6226,5181,6121
gene:Smp_006190,858,1235,367,515,1543,1982,1507,2338,2076,2003,1621,1904
gene:Smp_006195,1,0,1,1,1,1,0,0,6,2,4,1
gene:Smp_006250,2419,1670,896,1458,3255,4344,3221,8175,4671,5065,4117,4851
gene:Smp_006320,7315,4460,2133,6475,7202,13000,11168,6587,6043,7348,6052,6600
gene:Smp_006340,377,1411,314,289,893,1042,628,1204,1823,1509,1213,1377
gene:Smp_006350,9818,2927,3019,7688,10274,18626,12955,19536,15743,14280,11033,13255
gene:Smp_006390,4243,3754,1920,3763,6166,13315,8558,1391,831,618,1030,842
gene:Smp_006440,3820,1864,1357,1990,4507,6915,4590,10413,9730,9881,8000,8831
gene:Smp_006550,2589,3430,818,1871,2821,4060,4252,3679,4336,4415,3663,3921
gene:Smp_006560,22877,1379,1963,44974,6601,75992,53025,1879,1310,974,875,1042
gene:Smp_006590,283,181,101,159,448,635,428,914,1286,684,658,853
gene:Smp_006630,2717,1059,1242,1559,3860,5375,4174,5723,7510,5057,4699,5866
gene:Smp_006680,389,667,91,148,386,575,460,724,1890,1421,1418,1606
gene:Smp_006690,1014,728,346,532,1171,1279,1494,1343,1433,1657,1528,1469
gene:Smp_006700,1324,1112,650,829,2495,2845,2078,5820,4772,4214,3603,4222
gene:Smp_006710,463,554,125,205,485,473,398,546,1212,738,680,759
gene:Smp_006720,320,949,191,178,621,547,380,459,703,590,635,538
gene:Smp_006730,2669,1670,2076,871,6840,5458,4174,13290,11522,11198,9454,10246
gene:Smp_006750,170,541,95,353,239,598,378,499,1224,979,737,1018
gene:Smp_006760,19,74,6,39,22,77,53,67,61,43,47,52
gene:Smp_006780,613,1235,374,438,1454,1378,1129,1399,1546,1536,1421,1644
gene:Smp_006810,666,2208,522,332,1906,1080,788,3933,3099,3159,2900,2887
gene:Smp_006830,1167,1562,427,783,1350,3164,2310,1596,2770,1566,1721,2055
gene:Smp_006840,1427,1062,433,1132,1856,3007,2174,2548,2016,1523,1696,1832
gene:Smp_006850,1771,1010,762,2063,2790,4098,3519,1196,1421,1128,1218,1352
gene:Smp_006860,12791,3894,3101,13343,10547,20954,14969,11343,7041,7820,6537,7258
gene:Smp_006920,699,781,512,489,1782,1717,996,4514,3651,3235,2654,3074
gene:Smp_006930,340,869,147,259,622,940,788,2538,3698,4232,3585,3571
gene:Smp_007000,32,30,19,34,49,108,75,25,149,80,146,153
gene:Smp_007070,46,89,24,27,183,113,93,588,473,324,309,409
gene:Smp_007170,4875,1955,890,5700,3259,7958,5585,11491,6742,6658,5327,5938
gene:Smp_007180,2870,2656,1503,2531,5044,5226,4365,8741,6417,6507,5055,5771
gene:Smp_007190,430,677,141,245,587,1092,799,2641,2186,1325,1529,1825
gene:Smp_007210,827,509,418,456,1610,2243,1710,3933,5823,4877,5150,5696
gene:Smp_007260,12085,23293,5071,7738,17264,16072,10564,30951,41983,39048,35097,39118
gene:Smp_007270,6121,2444,1504,3112,5618,12471,10240,5517,1238,773,1074,986
gene:Smp_007290,217,99,71,141,281,500,378,693,676,644,649,650
gene:Smp_007300,6223,8278,3033,13822,10094,12594,9250,2087,2582,3308,2424,2469
gene:Smp_007330,38,238,88,55,262,88,38,367,558,322,525,651
gene:Smp_007380,1618,2357,648,875,2242,3811,2763,2547,3498,3822,2794,3414
gene:Smp_007450,439,1170,117,295,485,523,466,462,1119,1625,1571,1235
gene:Smp_007500,1980,3194,968,1475,3274,4736,3014,4470,5439,4513,3604,4489
gene:Smp_007510,4431,2368,1570,2689,5329,7526,5614,9824,6614,5210,4235,4726
gene:Smp_007540,726,800,612,567,2158,1336,1050,1826,1055,1631,1064,1147
gene:Smp_007550,160,1495,52,90,191,355,149,639,7035,5370,5219,6348
gene:Smp_007570,4,4,10,4,28,40,28,292,217,112,100,178
gene:Smp_007630,1924,3110,1108,1151,3641,2951,2244,4045,4687,5599,3879,4276
gene:Smp_007650,6443,8738,1648,6283,5619,8551,5787,7460,5412,4746,4615,5426
gene:Smp_007660,1335,1418,653,910,2308,2272,1435,4425,4003,3671,3336,3690
gene:Smp_007670,70,45,125,83,447,304,172,1319,255,330,160,224
gene:Smp_007690,21,12,6,11,32,30,10,124,47,48,30,64
gene:Smp_007710,962,852,573,1006,2173,3891,2776,8324,10550,9330,7053,8758
gene:Smp_007730,1251,2265,493,919,1576,2033,1473,2106,3236,3584,2615,2857
gene:Smp_007760,37,1792,14,17,84,87,68,100,111,158,105,154
gene:Smp_007890,372,443,155,241,599,1133,820,634,584,754,656,655
gene:Smp_007900,5635,7647,2300,3193,8344,12408,10225,1750,3336,3280,3045,2853
gene:Smp_007960,813,833,423,478,1493,1696,1145,5149,3843,3256,3218,3384
gene:Smp_007970,656,269,140,569,503,1450,822,371,1193,953,968,896
gene:Smp_008070,16540,6972,4145,16406,13619,31637,17822,2054,2571,2461,2632,2381
gene:Smp_008120,396,834,199,185,783,1152,852,1488,1931,1579,1411,1622
gene:Smp_008140,528,423,274,361,1219,1372,941,1537,1324,990,879,1046
gene:Smp_008220,128,167,63,69,280,552,350,613,787,540,452,548
gene:Smp_008230,1879,3005,1139,694,4313,2872,2062,6945,5403,5303,4507,4770
gene:Smp_008260,1964,2244,687,1431,2723,4960,4008,8543,6858,6460,6504,6639
gene:Smp_008290,912,576,457,564,1929,2251,1580,6545,5756,4814,4020,4944
gene:Smp_008310,2234,3531,889,2345,2973,2647,2319,3782,2652,2204,1996,2156
gene:Smp_008320,3268,3986,1356,2273,4845,4389,3023,9604,7934,7220,7195,7307
gene:Smp_008360,903,4920,1081,741,3802,1157,976,3266,3263,3726,3475,3859
gene:Smp_008400,60,84,41,21,144,160,111,101,129,152,211,263
gene:Smp_008430,1174,2156,531,972,1864,3233,2105,1433,1439,1468,1231,1359
gene:Smp_008440,257,436,166,197,533,400,385,607,543,416,449,560
gene:Smp_008450,26,14,6,18,35,85,48,118,26,38,51,58
gene:Smp_008470,2672,3522,1146,2128,3852,4911,4114,4043,3060,2851,2422,2874
gene:Smp_008490,1647,3622,148,1943,484,4508,3522,444,934,1232,1297,1241
gene:Smp_008500,4444,2483,1385,2910,4978,9155,5657,8675,9306,8596,7216,8015
gene:Smp_008545,15787,36236,9321,11666,31483,32534,23086,30200,34915,46844,33504,34985
gene:Smp_008580,347,859,251,171,837,547,432,2430,2763,2747,2573,3026
gene:Smp_008610,286,2518,213,104,769,296,323,1066,874,855,654,782
gene:Smp_008620,326,592,150,227,525,472,363,803,1497,1650,1549,1842
gene:Smp_008660,4113,17134,1419,1617,5344,5083,4117,5552,8733,6263,6521,8269
gene:Smp_008710,156,477,83,103,343,410,238,1459,2535,2298,2224,2479
gene:Smp_008770,819,833,282,710,941,1772,1072,766,877,717,822,737
gene:Smp_008830,2762,2751,1640,1776,5766,6131,4509,9279,7449,5928,6089,6979
gene:Smp_008850,36,20,14,10,63,40,57,266,500,539,371,530
gene:Smp_008900,19175,25149,6087,13513,21068,36498,25503,41821,36305,30847,31889,34822
gene:Smp_009020,10,34,3,9,4,10,19,20,47,62,48,55
gene:Smp_009030,1812,2163,653,783,2122,2517,1639,3144,5273,5473,4726,5230
gene:Smp_009070,2964,1363,726,1839,2601,5271,3834,6766,3311,2827,2515,2741
gene:Smp_009150,1067,1161,326,700,1213,1446,1124,2175,1941,1569,1406,1707
gene:Smp_009230,2,786,1,2,12,1,2,0,0,0,2,0
gene:Smp_009250,1300,878,498,1098,1983,3592,2559,10289,8545,7136,7090,8439
gene:Smp_009310,44995,33792,15796,29952,50715,104768,80559,25513,32882,39835,30005,30102
gene:Smp_009320,745,1082,226,526,684,1655,1859,1520,1316,1392,1320,1466
gene:Smp_009340,538,637,202,302,600,1103,698,1650,1717,1483,1097,1530
gene:Smp_009390,375,517,183,294,664,1245,1233,249,185,242,262,185
gene:Smp_009400,4605,3367,1789,3406,6277,7199,4928,7095,6239,5589,4429,5162
gene:Smp_009420,355,424,154,164,593,433,379,379,412,649,611,509
gene:Smp_009430,198,413,214,116,665,680,452,2173,1522,1183,1162,1489
gene:Smp_009520,859,371,225,830,715,1475,1042,1173,1682,1084,976,1424
gene:Smp_009540,4662,2888,1628,3938,6419,8924,6260,11347,7893,8888,7133,7470
gene:Smp_009550,310,252,236,257,945,1099,854,3200,2312,1733,1640,1835
gene:Smp_009560,673,397,197,454,935,1325,987,3015,3785,3468,2920,3178
gene:Smp_009600,161,465,39,96,118,390,260,331,404,382,270,452
gene:Smp_009630,39,4,46,8,200,110,40,763,669,448,431,666
gene:Smp_009650,40750,9420,4014,65700,13499,81407,57806,4687,4102,4470,3738,4156
gene:Smp_009690,6118,15182,3174,3039,10771,9796,7078,16998,33684,25579,24528,28813
gene:Smp_009760,12290,18455,9063,6672,30834,32997,27090,23362,34429,31902,34830,38796
gene:Smp_009800,75,21,12,112,81,195,137,190,212,208,158,156
gene:Smp_009810,5,1,12,6,30,39,25,155,53,28,34,60
gene:Smp_009830,475,1481,238,205,818,1013,601,2141,1863,3059,2328,2672
gene:Smp_009990,2118,1272,805,1843,3054,4508,3538,5829,6544,5642,4572,5360
gene:Smp_010090,1450,1542,521,1162,1772,2018,1684,3745,2839,3818,3799,3913
gene:Smp_010100,1362,462,293,827,1134,2068,1452,870,1463,1806,1240,1410
gene:Smp_010110,834,1354,310,511,1281,2734,1742,2030,3013,2520,2032,2747
gene:Smp_010140,718,748,415,405,1250,1441,986,2457,1811,1860,1969,2124
gene:Smp_010160,319,2054,186,258,796,1630,1351,1228,1348,1340,1102,1513
gene:Smp_010230,3030,2103,1236,2065,4747,5750,3773,11456,8571,9698,8086,8810
gene:Smp_010250,3178,2665,1728,2509,6078,7380,4825,12907,7373,5647,5699,6221
gene:Smp_010260,186,227,66,135,326,824,478,1007,1653,1168,1282,1359
gene:Smp_010280,473,813,334,119,1306,767,497,3186,2618,2356,2198,2194
gene:Smp_010290,5929,6399,2512,4076,8413,11636,8185,17829,15616,15480,13212,14942
gene:Smp_010370,485,1605,113,104,361,1231,831,212,165,133,94,94
gene:Smp_010380,70,158,42,54,125,112,80,208,510,376,366,333
gene:Smp_010400,271,608,181,250,654,192,190,698,691,712,570,568
gene:Smp_010450,6,20,0,11,2,14,16,0,1,18,0,1
gene:Smp_010550,2763,1000,5312,1946,18662,12963,12258,43914,82536,91218,106256,92530
gene:Smp_010620,620,437,149,506,549,784,666,984,912,674,778,744
gene:Smp_010690,906,1432,442,319,1587,1914,1202,9953,4331,4465,6094,5647
gene:Smp_010710,3402,3490,635,3909,2310,5956,3535,3281,2862,2212,2520,2661
gene:Smp_010720,1,5,4,0,11,5,9,14,115,168,155,87
gene:Smp_010800,170,129,90,107,263,422,326,532,917,686,813,779
